"Degree_resistance","Access","eir","half_life","Vaccine_type","Age","Blood_clerance","Seasonality","time_0.1","time_UP","time_LOW"
0,0.3,50,1,"AIV","Children",0,"Seasonal",NA,NA,NA
0.25,0.3,50,1,"AIV","Children",0,"Seasonal",71.8406965553736,63.1127041872953,83.3701324993766
0.5,0.3,50,1,"AIV","Children",0,"Seasonal",38.8542751376078,36.2661786771574,41.8401521632043
0.75,0.3,50,1,"AIV","Children",0,"Seasonal",28.4473906186009,26.9934336085146,30.0668945598493
1,0.3,50,1,"AIV","Children",0,"Seasonal",22.7131849791335,21.359954394284,24.2494773219415
0,0.1,5,1.5,"AIV","Children",0,"Seasonal",NA,NA,NA
0.25,0.1,5,1.5,"AIV","Children",0,"Seasonal",61.0880346290739,49.3220664726644,80.2263344633843
0.5,0.1,5,1.5,"AIV","Children",0,"Seasonal",36.8490265366483,32.3467871353422,42.8072177329191
0.75,0.1,5,1.5,"AIV","Children",0,"Seasonal",28.0438989671593,25.1559336651779,31.6809531352121
1,0.1,5,1.5,"AIV","Children",0,"Seasonal",23.1991865677901,20.9022539695773,26.0632579168392
0,0.1,50,1.5,"AIV","Children",0,"Seasonal",NA,NA,NA
0.25,0.1,50,1.5,"AIV","Children",0,"Seasonal",46.3199538630857,40.5370137641273,54.027410581899
0.5,0.1,50,1.5,"AIV","Children",0,"Seasonal",27.4725188880831,25.3138031755738,30.0337425621684
0.75,0.1,50,1.5,"AIV","Children",0,"Seasonal",21.0098239036463,19.7517484794343,22.4390663824807
1,0.1,50,1.5,"AIV","Children",0,"Seasonal",17.8337153232285,16.8211253585386,18.9760248869888
0,0.3,5,1.5,"AIV","Children",0,"Seasonal",NA,NA,NA
0.25,0.3,5,1.5,"AIV","Children",0,"Seasonal",77.9980049070794,61.0360517469283,108.015601369416
0.5,0.3,5,1.5,"AIV","Children",0,"Seasonal",45.6338120761981,38.4745150655198,56.0666314744482
0.75,0.3,5,1.5,"AIV","Children",0,"Seasonal",34.5049942177381,29.7484282311407,41.072143166379
1,0.3,5,1.5,"AIV","Children",0,"Seasonal",28.0599029643631,24.1034807032817,33.57022721594
0,0.3,50,1.5,"AIV","Children",0,"Seasonal",NA,NA,NA
0.25,0.3,50,1.5,"AIV","Children",0,"Seasonal",56.6980361654799,48.4302817631793,68.369747805957
0.5,0.3,50,1.5,"AIV","Children",0,"Seasonal",32.7641584592283,30.0065839749042,36.0798609033392
0.75,0.3,50,1.5,"AIV","Children",0,"Seasonal",24.9278301862527,23.2464774040792,26.8713606490738
1,0.3,50,1.5,"AIV","Children",0,"Seasonal",20.9191968063508,19.2878142480549,22.8520456063285
0,0.1,5,1,"AIV","Children",0,"Perenial",NA,NA,NA
0.25,0.1,5,1,"AIV","Children",0,"Perenial",115.092811421355,92.7808629972433,151.533629163116
0.5,0.1,5,1,"AIV","Children",0,"Perenial",61.140464183721,56.8693176215959,66.105273380409
0.75,0.1,5,1,"AIV","Children",0,"Perenial",49.5716064134383,46.8653349832174,52.6095834761957
1,0.1,5,1,"AIV","Children",0,"Perenial",42.0334931324105,38.2089961740275,46.7087674653859
0,0.1,50,1,"AIV","Children",0,"Perenial",NA,NA,NA
0.25,0.1,50,1,"AIV","Children",0,"Perenial",67.4496486821863,63.0972482693679,72.4469869932101
0.5,0.1,50,1,"AIV","Children",0,"Perenial",38.1287638938036,36.860266980364,39.4876797111853
0.75,0.1,50,1,"AIV","Children",0,"Perenial",29.0599095369696,28.0457711291353,30.1501422540784
1,0.1,50,1,"AIV","Children",0,"Perenial",24.285661914876,23.4673939410368,25.1630546847874
0,0.3,5,1,"AIV","Children",0,"Perenial",NA,NA,NA
0.25,0.3,5,1,"AIV","Children",0,"Perenial",175.96123959562,136.418669955452,247.784522614189
0.5,0.3,5,1,"AIV","Children",0,"Perenial",86.1207998200626,77.6134070940572,96.7228215492405
0.75,0.3,5,1,"AIV","Children",0,"Perenial",65.982209830915,61.4746379659905,71.2031132927806
1,0.3,5,1,"AIV","Children",0,"Perenial",52.7862848970789,48.0205978497602,58.6021081075127
0,0.3,50,1,"AIV","Children",0,"Perenial",NA,NA,NA
0.25,0.3,50,1,"AIV","Children",0,"Perenial",90.8685716373709,83.801858305719,99.2368642474258
0.5,0.3,50,1,"AIV","Children",0,"Perenial",49.0911417124025,47.3421662692211,50.9743001353416
0.75,0.3,50,1,"AIV","Children",0,"Perenial",35.8837926227921,34.5754170824105,37.2950836299733
1,0.3,50,1,"AIV","Children",0,"Perenial",28.7899124103095,27.795992791981,29.8575484311937
0,0.1,5,1.5,"AIV","Children",0,"Perenial",NA,NA,NA
0.25,0.1,5,1.5,"AIV","Children",0,"Perenial",87.1604491486977,74.1559858155437,105.695962559372
0.5,0.1,5,1.5,"AIV","Children",0,"Perenial",49.0506505884568,46.6185189998098,51.7505236427934
0.75,0.1,5,1.5,"AIV","Children",0,"Perenial",39.9815836268183,38.4516846311262,41.6382690656219
