"Vaccine_type","half_life","Degree_resistance","Access","eir","seasonality","Age","Blood_coverage","IR"
"BSV",1,0.75,0.1,5,"sesonality2","Children","1",11.3944188116581
"PEV",1,1,0.1,5,"sesonality2","Children","1",4.75316659408225
"BSV",1,1,0.1,5,"sesonality2","Children","1",4.75316659408225
"PEV",1,0,0.1,5,"sesonality1","0.75","0",83.6013484328688
"PEV",1,0,0.1,5,"sesonality2","0.75","0",79.8793004351753
"PEV",1,0,0.1,5,"sesonality1","18","0",41.1584805802827
"PEV",1,0,0.1,5,"sesonality2","18","0",41.8787576619642
"PEV",1,0,0.1,5,"sesonality1","0.75","1",93.4102372034956
"PEV",1,0,0.1,5,"sesonality2","0.75","1",90.7365684065627
"PEV",1,0,0.1,5,"sesonality1","18","1",47.104106848729
"PEV",1,0,0.1,5,"sesonality2","18","1",48.4556914437434
"PEV",1,0.25,0.1,5,"sesonality1","0.75","0",67.2968558392621
"PEV",1,0.25,0.1,5,"sesonality2","0.75","0",63.2220378048995
"PEV",1,0.25,0.1,5,"sesonality1","18","0",30.188960271674
"PEV",1,0.25,0.1,5,"sesonality2","18","0",30.698301903393
"PEV",1,0.25,0.1,5,"sesonality1","0.75","1",81.98202247191
"PEV",1,0.25,0.1,5,"sesonality2","0.75","1",78.7459336082499
"PEV",1,0.25,0.1,5,"sesonality1","18","1",36.2007792711875
"PEV",1,0.25,0.1,5,"sesonality2","18","1",37.7401050294294
"PEV",1,0.5,0.1,5,"sesonality1","0.75","0",44.8232034872754
"PEV",1,0.5,0.1,5,"sesonality2","0.75","0",44.4240479974665
"PEV",1,0.5,0.1,5,"sesonality1","18","0",20.4482265559837
"PEV",1,0.5,0.1,5,"sesonality2","18","0",20.0354277133874
"PEV",1,0.5,0.1,5,"sesonality1","0.75","1",61.396061902931
"PEV",1,0.5,0.1,5,"sesonality2","0.75","1",60.4443764669895
"PEV",1,0.5,0.1,5,"sesonality1","18","1",25.6393158735455
"PEV",1,0.5,0.1,5,"sesonality2","18","1",27.9573303257791
"PEV",1,0.75,0.1,5,"sesonality1","0.75","0",22.4555149541245
"PEV",1,0.75,0.1,5,"sesonality2","0.75","0",21.9955778941627
"PEV",1,0.75,0.1,5,"sesonality1","18","0",10.5055158923239
"PEV",1,0.75,0.1,5,"sesonality2","18","0",10.5040266999829
"PEV",1,0.75,0.1,5,"sesonality1","0.75","1",38.0231611643506
"PEV",1,0.75,0.1,5,"sesonality2","0.75","1",40.4021389367674
"PEV",1,0.75,0.1,5,"sesonality1","18","1",16.4502853844357
"PEV",1,0.75,0.1,5,"sesonality2","18","1",17.8814365770274
"PEV",1,1,0.1,5,"sesonality1","0.75","0",1.24585996116898
"PEV",1,1,0.1,5,"sesonality2","0.75","0",1.48222445113065
"PEV",1,1,0.1,5,"sesonality1","18","0",1.59360769142913
"PEV",1,1,0.1,5,"sesonality2","18","0",1.66596273874918
"PEV",1,1,0.1,5,"sesonality1","0.75","1",16.3525593008736
"PEV",1,1,0.1,5,"sesonality2","0.75","1",20.5393226700238
"PEV",1,1,0.1,5,"sesonality1","18","1",7.45333578825356
"PEV",1,1,0.1,5,"sesonality2","18","1",10.0007048954991
"PEV",1,0,0.1,5,"sesonality1","0.75","0",83.7621290415633
"PEV",1,0,0.1,5,"sesonality2","0.75","0",79.9813807691628
"PEV",1,0,0.1,5,"sesonality1","18","0",40.8675458487488
"PEV",1,0,0.1,5,"sesonality2","18","0",43.751436400601
"PEV",1,0,0.1,5,"sesonality1","0.75","1",93.4940602726022
"PEV",1,0,0.1,5,"sesonality2","0.75","1",90.5496687567593
"PEV",1,0,0.1,5,"sesonality1","18","1",46.139008647544
"PEV",1,0,0.1,5,"sesonality2","18","1",51.3359769626587
"PEV",1,0.25,0.1,5,"sesonality1","0.75","0",67.6390132298817
"PEV",1,0.25,0.1,5,"sesonality2","0.75","0",64.6637363155351
"PEV",1,0.25,0.1,5,"sesonality1","18","0",29.9856285400285
"PEV",1,0.25,0.1,5,"sesonality2","18","0",32.6485753852499
"PEV",1,0.25,0.1,5,"sesonality1","0.75","1",81.0759034637989
"PEV",1,0.25,0.1,5,"sesonality2","0.75","1",78.9422673466856
"PEV",1,0.25,0.1,5,"sesonality1","18","1",35.1793057043885
"PEV",1,0.25,0.1,5,"sesonality2","18","1",39.5210782231034
"PEV",1,0.5,0.1,5,"sesonality1","0.75","0",45.0925875266722
"PEV",1,0.5,0.1,5,"sesonality2","0.75","0",43.8365042983321
"PEV",1,0.5,0.1,5,"sesonality1","18","0",19.5549145883584
"PEV",1,0.5,0.1,5,"sesonality2","18","0",21.9030838042816
"PEV",1,0.5,0.1,5,"sesonality1","0.75","1",61.6341127922971
"PEV",1,0.5,0.1,5,"sesonality2","0.75","1",62.0899350515038
"PEV",1,0.5,0.1,5,"sesonality1","18","1",25.1730754853343
"PEV",1,0.5,0.1,5,"sesonality2","18","1",29.4227682575649
"PEV",1,0.75,0.1,5,"sesonality1","0.75","0",21.6878136610747
"PEV",1,0.75,0.1,5,"sesonality2","0.75","0",21.4605576374651
"PEV",1,0.75,0.1,5,"sesonality1","18","0",9.81998110298847
"PEV",1,0.75,0.1,5,"sesonality2","18","0",10.4771558048945
"PEV",1,0.75,0.1,5,"sesonality1","0.75","1",38.2783543828935
"PEV",1,0.75,0.1,5,"sesonality2","0.75","1",41.1781739957805
"PEV",1,0.75,0.1,5,"sesonality1","18","1",15.0611807511152
"PEV",1,0.75,0.1,5,"sesonality2","18","1",18.2469433035923
"PEV",1,1,0.1,5,"sesonality1","0.75","0",0.668360775577192
"PEV",1,1,0.1,5,"sesonality2","0.75","0",1.2997955444
"PEV",1,1,0.1,5,"sesonality1","18","0",0.600740980182511
"PEV",1,1,0.1,5,"sesonality2","18","0",1.6041299569206
"PEV",1,1,0.1,5,"sesonality1","0.75","1",16.4186569963736
"PEV",1,1,0.1,5,"sesonality2","0.75","1",20.6753698045636
"PEV",1,1,0.1,5,"sesonality1","18","1",5.85740274628038
"PEV",1,1,0.1,5,"sesonality2","18","1",9.833356937166
"PEV",1,0,0.1,5,"sesonality1","0.75","0",82.8287534564312
"PEV",1,0,0.1,5,"sesonality2","0.75","0",80.1559967000697
"PEV",1,0,0.1,5,"sesonality1","18","0",40.5628124414368
"PEV",1,0,0.1,5,"sesonality2","18","0",41.9621578889664
"PEV",1,0,0.1,5,"sesonality1","0.75","1",93.2752008067925
"PEV",1,0,0.1,5,"sesonality2","0.75","1",90.9751157407407
"PEV",1,0,0.1,5,"sesonality1","18","1",46.4017785538085
"PEV",1,0,0.1,5,"sesonality2","18","1",48.6444947767404
"PEV",1,0.25,0.1,5,"sesonality1","0.75","0",66.026861680577
"PEV",1,0.25,0.1,5,"sesonality2","0.75","0",63.4103142506044
"PEV",1,0.25,0.1,5,"sesonality1","18","0",29.3316787803582
"PEV",1,0.25,0.1,5,"sesonality2","18","0",30.6216423637758
"PEV",1,0.25,0.1,5,"sesonality1","0.75","1",80.3542960174805
"PEV",1,0.25,0.1,5,"sesonality2","0.75","1",78.5763888888888
"PEV",1,0.25,0.1,5,"sesonality1","18","1",35.2959688143991
"PEV",1,0.25,0.1,5,"sesonality2","18","1",37.2492373116393
"PEV",1,0.5,0.1,5,"sesonality1","0.75","0",43.7351551461316
"PEV",1,0.5,0.1,5,"sesonality2","0.75","0",42.6032123324025
"PEV",1,0.5,0.1,5,"sesonality1","18","0",18.6997634736451
"PEV",1,0.5,0.1,5,"sesonality2","18","0",20.1357191905319
"PEV",1,0.5,0.1,5,"sesonality1","0.75","1",60.3495082334604
"PEV",1,0.5,0.1,5,"sesonality2","0.75","1",60.6765046296295
"PEV",1,0.5,0.1,5,"sesonality1","18","1",25.0048219923463
"PEV",1,0.5,0.1,5,"sesonality2","18","1",27.0413469538691
"PEV",1,0.75,0.1,5,"sesonality1","0.75","0",21.1010893400657
"PEV",1,0.75,0.1,5,"sesonality2","0.75","0",22.117925344718
"PEV",1,0.75,0.1,5,"sesonality1","18","0",9.31224327513795
"PEV",1,0.75,0.1,5,"sesonality2","18","0",10.9493473669632
"PEV",1,0.75,0.1,5,"sesonality1","0.75","1",36.6041368491286
"PEV",1,0.75,0.1,5,"sesonality2","0.75","1",40.079861111111
"PEV",1,0.75,0.1,5,"sesonality1","18","1",14.6979402479016
"PEV",1,0.75,0.1,5,"sesonality2","18","1",17.5117870019416
"PEV",1,1,0.1,5,"sesonality1","0.75","0",-0.131148537111129
"PEV",1,1,0.1,5,"sesonality2","0.75","0",1.90453661660556
"PEV",1,1,0.1,5,"sesonality1","18","0",-0.222328012316439
"PEV",1,1,0.1,5,"sesonality2","18","0",1.31854561821657
"PEV",1,1,0.1,5,"sesonality1","0.75","1",14.6791420698509
"PEV",1,1,0.1,5,"sesonality2","0.75","1",19.8390055613103
"PEV",1,1,0.1,5,"sesonality1","18","1",5.60518541829575
"PEV",1,1,0.1,5,"sesonality2","18","1",8.49179248062997
