"L","M","U","G","Vaccine_type","Range"
0.0213477632743364,0.0425401504366191,0.065279351132078,"Coverage","AIV",60
0.0220665080179612,0.0433051061924396,0.0667183013608612,"Coverage","AIV",61.3793103448276
0.0236079355424722,0.0449287388638215,0.0682927157321538,"Coverage","AIV",62.7586206896552
0.0240759020577396,0.0454310923865846,0.0697639770731717,"Coverage","AIV",64.1379310344828
0.0240887264370384,0.0468142071993895,0.0719272475604164,"Coverage","AIV",65.5172413793103
0.0256776874186978,0.048320217425965,0.0732455265578007,"Coverage","AIV",66.8965517241379
0.026114840432662,0.0492252118512952,0.0741299314911436,"Coverage","AIV",68.2758620689655
0.026008013058713,0.0493104522618101,0.0748926016987667,"Coverage","AIV",69.6551724137931
0.0270667261640828,0.0510574555659595,0.0772487684611409,"Coverage","AIV",71.0344827586207
0.0282084141384977,0.0522775022054559,0.0779744769927706,"Coverage","AIV",72.4137931034483
0.0290516300200329,0.0546398282954748,0.0811996111532329,"Coverage","AIV",73.7931034482759
0.030448663388468,0.0553374522083683,0.0827845999768041,"Coverage","AIV",75.1724137931034
0.0298027109973107,0.0557489015490175,0.0829410352206535,"Coverage","AIV",76.551724137931
0.0295062248266357,0.0558914011647385,0.0839589951003955,"Coverage","AIV",77.9310344827586
0.0295010879931567,0.056111121167451,0.0845973899912177,"Coverage","AIV",79.3103448275862
0.0308192119034784,0.0583551908417824,0.0877403942118271,"Coverage","AIV",80.6896551724138
0.0313169832946549,0.0591719243785655,0.0879612231699917,"Coverage","AIV",82.0689655172414
0.0325811576973122,0.0592663708986353,0.0891397348932092,"Coverage","AIV",83.448275862069
0.0323645965360522,0.0610472799358754,0.0911170756441446,"Coverage","AIV",84.8275862068966
0.0324036408125015,0.0614018040786245,0.0922006301362333,"Coverage","AIV",86.2068965517241
0.0338214832693894,0.0630484532086962,0.0933069730497638,"Coverage","AIV",87.5862068965517
0.0334096045719083,0.0628847884766454,0.0948617690006149,"Coverage","AIV",88.9655172413793
0.0344628006405769,0.0656530228721635,0.0972303470137468,"Coverage","AIV",90.3448275862069
0.0356651192039409,0.0660735852095641,0.0980018400560958,"Coverage","AIV",91.7241379310345
0.0350387032177833,0.0659200670757764,0.0981994647572461,"Coverage","AIV",93.1034482758621
0.0362570123213751,0.0677591703351172,0.101257271908558,"Coverage","AIV",94.4827586206897
0.0368831914580744,0.0695585046336566,0.102515186798721,"Coverage","AIV",95.8620689655172
0.0363153175883818,0.0689516527626434,0.102141594287235,"Coverage","AIV",97.2413793103448
0.0370743824706877,0.0701120548849297,0.103729976253385,"Coverage","AIV",98.6206896551724
NA,NA,NA,"Coverage","AIV",100
0.0191992640289051,0.036770413859793,0.0562005598559557,"initialEfficacy","AIV",0.5
0.0200155363648886,0.0391795128182365,0.0585203262157306,"initialEfficacy","AIV",0.517241379310345
0.02048714897164,0.0394107204760088,0.0600145527121843,"initialEfficacy","AIV",0.53448275862069
0.0215888046186173,0.0412443718413302,0.0624942802874364,"initialEfficacy","AIV",0.551724137931034
0.0216008683959853,0.041719248833918,0.0635369084581044,"initialEfficacy","AIV",0.568965517241379
0.0236235695801152,0.0450530699469745,0.0669017509741519,"initialEfficacy","AIV",0.586206896551724
0.0228350064288607,0.044963973287899,0.0677463301990173,"initialEfficacy","AIV",0.603448275862069
0.0240724054875381,0.0469310985695475,0.07070126039579,"initialEfficacy","AIV",0.620689655172414
0.0257053184414132,0.0488813963804059,0.0726017288781049,"initialEfficacy","AIV",0.637931034482759
0.0272523592265087,0.050737202679841,0.0754729998334137,"initialEfficacy","AIV",0.655172413793103
0.0267732453117666,0.051949019980464,0.0769028510151406,"initialEfficacy","AIV",0.672413793103448
0.0277465892653034,0.053621676925019,0.0791156059123344,"initialEfficacy","AIV",0.689655172413793
0.0274116379568792,0.0524624337747028,0.0793989560975302,"initialEfficacy","AIV",0.706896551724138
0.0294583540279196,0.0559908191196121,0.0827258074124994,"initialEfficacy","AIV",0.724137931034483
0.03103158564136,0.0580016467740378,0.0851126014311651,"initialEfficacy","AIV",0.741379310344828
0.0316710289086914,0.0596112850154231,0.0876794968939507,"initialEfficacy","AIV",0.758620689655172
0.0335925345019316,0.0618202630956892,0.0895062538681484,"initialEfficacy","AIV",0.775862068965517
0.0334024512296957,0.0626318898686994,0.0921640586090537,"initialEfficacy","AIV",0.793103448275862
0.0352150726041123,0.0651277747560264,0.0939387265397692,"initialEfficacy","AIV",0.810344827586207
0.0353102865549663,0.0661825321503765,0.0964568090723674,"initialEfficacy","AIV",0.827586206896552
0.0357195429491726,0.0677178966293689,0.0981904392814598,"initialEfficacy","AIV",0.844827586206897
0.0376932276198074,0.0692639262590299,0.0997274433727167,"initialEfficacy","AIV",0.862068965517241
0.0384946022297327,0.0709548443632962,0.102700792039312,"initialEfficacy","AIV",0.879310344827586
0.0393436010367138,0.0728118904469331,0.104169193229899,"initialEfficacy","AIV",0.896551724137931
0.0420713085188978,0.0750227821730312,0.106701987132418,"initialEfficacy","AIV",0.913793103448276
0.0426685151819285,0.0761474302882502,0.108754693976884,"initialEfficacy","AIV",0.931034482758621
0.0450505920876964,0.0781103890744397,0.111368518243214,"initialEfficacy","AIV",0.948275862068966
0.0444313218492075,0.0797238548457153,0.112720510071306,"initialEfficacy","AIV",0.96551724137931
0.045618493029356,0.080140410938274,0.114268530969049,"initialEfficacy","AIV",0.982758620689655
NA,NA,NA,"initialEfficacy","AIV",1
0.000515297362266118,0.00265683412622726,0.00519836242181277,"Degree_resistance","AIV",0
0.0046127048094944,0.00710067087378043,0.0106543877072818,"Degree_resistance","AIV",0.0344827586206897
0.0080352791089359,0.0117132530077966,0.0164831643961562,"Degree_resistance","AIV",0.0689655172413793
0.0114887391162842,0.0163188061030224,0.0224376083830078,"Degree_resistance","AIV",0.103448275862069
0.0152015007691026,0.021204860021828,0.0288106480427959,"Degree_resistance","AIV",0.137931034482759
0.0184840118059401,0.0257922407449733,0.0345941720286235,"Degree_resistance","AIV",0.172413793103448
0.0218905986357115,0.0302202364541952,0.0402218815310875,"Degree_resistance","AIV",0.206896551724138
0.0251197825281177,0.0342986738996525,0.0457569134429983,"Degree_resistance","AIV",0.241379310344828
0.028384150181519,0.0387965713117368,0.0514212723849953,"Degree_resistance","AIV",0.275862068965517
0.0319704866331829,0.0433611881262866,0.0565735271187017,"Degree_resistance","AIV",0.310344827586207
0.0346565143718048,0.0468524391222472,0.0616486815671544,"Degree_resistance","AIV",0.344827586206897
0.0375070985681826,0.0504511074502189,0.0661102257098705,"Degree_resistance","AIV",0.379310344827586
0.0405307017089629,0.0545697493749856,0.071517734912442,"Degree_resistance","AIV",0.413793103448276
0.0429571682782818,0.0580329709110309,0.0757112755077814,"Degree_resistance","AIV",0.448275862068966
0.0458609698231418,0.0615456838586947,0.0796143140318688,"Degree_resistance","AIV",0.482758620689655
0.0480227163157751,0.064221538573764,0.0834826111152371,"Degree_resistance","AIV",0.517241379310345
0.0509753458546472,0.0678623004311172,0.086859521083515,"Degree_resistance","AIV",0.551724137931034
0.0539821003913178,0.0713600426567998,0.0917376945787735,"Degree_resistance","AIV",0.586206896551724
0.0555547197546155,0.0734739166949962,0.0941750377902765,"Degree_resistance","AIV",0.620689655172414
0.0579001456544007,0.075761702977227,0.096657591647391,"Degree_resistance","AIV",0.655172413793103
0.0607835626175887,0.0799496900080819,0.102071034726686,"Degree_resistance","AIV",0.689655172413793
0.0633323991994929,0.0825629259494894,0.104434579567308,"Degree_resistance","AIV",0.724137931034483
0.0652049723384849,0.0845818884984933,0.106425938501328,"Degree_resistance","AIV",0.758620689655172
0.068013120014195,0.087700884310238,0.109998308574961,"Degree_resistance","AIV",0.793103448275862
0.0703599970118506,0.0902651250871597,0.113515540547976,"Degree_resistance","AIV",0.827586206896552
0.0727267912690099,0.0933408297024068,0.115772930181861,"Degree_resistance","AIV",0.862068965517241
0.0748055713256601,0.0954638933896057,0.118637193497994,"Degree_resistance","AIV",0.896551724137931
