"L","M","U","G","Coverage_reduced","Seasonality","Age","Blood_coverage","Range"
0.0196387956432653,0.0386189690678631,0.0613153889681189,"Coverage","0.2","sesonality2","18","0",60
0.0198913433627713,0.0388820908091074,0.0612594386948208,"Coverage","0.2","sesonality2","18","0",61.3793103448276
0.0201098637224046,0.0397156569293621,0.0627252113518316,"Coverage","0.2","sesonality2","18","0",62.7586206896552
0.0209145165136522,0.0407804304572659,0.0638716142952933,"Coverage","0.2","sesonality2","18","0",64.1379310344828
0.0211795845924562,0.0413253164041729,0.064993697041369,"Coverage","0.2","sesonality2","18","0",65.5172413793103
0.0222656708207344,0.0425722423427669,0.0657990133456227,"Coverage","0.2","sesonality2","18","0",66.8965517241379
0.0223637435494947,0.0428711721026,0.0663128680750321,"Coverage","0.2","sesonality2","18","0",68.2758620689655
0.0222438496699233,0.0430289684344257,0.0670002816751722,"Coverage","0.2","sesonality2","18","0",69.6551724137931
0.0230952487138085,0.0441848548669998,0.0683023529946334,"Coverage","0.2","sesonality2","18","0",71.0344827586207
0.0228215035328695,0.0442653072872182,0.0690447063429024,"Coverage","0.2","sesonality2","18","0",72.4137931034483
0.0235746303817376,0.0450980289351162,0.0698389882625306,"Coverage","0.2","sesonality2","18","0",73.7931034482759
0.0237966898493126,0.0451917445579169,0.0698980393997568,"Coverage","0.2","sesonality2","18","0",75.1724137931034
0.0242110394056219,0.0463621567810516,0.0719241597211886,"Coverage","0.2","sesonality2","18","0",76.551724137931
0.024013319247257,0.0457916699103258,0.0718621885991996,"Coverage","0.2","sesonality2","18","0",77.9310344827586
0.024355953413742,0.0469175943268432,0.0734453537115378,"Coverage","0.2","sesonality2","18","0",79.3103448275862
0.0246895220150435,0.0472734333751475,0.0736646499427529,"Coverage","0.2","sesonality2","18","0",80.6896551724138
0.0247315130042564,0.0469436014384729,0.0738774188133353,"Coverage","0.2","sesonality2","18","0",82.0689655172414
0.0252442756511191,0.0481376990510836,0.0758217169713365,"Coverage","0.2","sesonality2","18","0",83.448275862069
0.0250447771948381,0.0483134036861331,0.0752620643270305,"Coverage","0.2","sesonality2","18","0",84.8275862068966
0.0261276624245144,0.0489939484378755,0.0763148776547576,"Coverage","0.2","sesonality2","18","0",86.2068965517241
0.0261084444111903,0.0492935427657874,0.0764862000479109,"Coverage","0.2","sesonality2","18","0",87.5862068965517
0.0269769331025928,0.0506275994966084,0.0792278423909851,"Coverage","0.2","sesonality2","18","0",88.9655172413793
0.0264820732202704,0.0504853382111717,0.0794924409801987,"Coverage","0.2","sesonality2","18","0",90.3448275862069
0.0265667001951588,0.0502363740322635,0.0795921625445301,"Coverage","0.2","sesonality2","18","0",91.7241379310345
0.0270615552145409,0.0515533584749077,0.0813543430765269,"Coverage","0.2","sesonality2","18","0",93.1034482758621
0.0269701963359393,0.0519137052393414,0.0823384920271149,"Coverage","0.2","sesonality2","18","0",94.4827586206897
0.0280135482262677,0.0530619793536281,0.082417309655954,"Coverage","0.2","sesonality2","18","0",95.8620689655172
0.0278406740719825,0.0535545648338979,0.0835301257436206,"Coverage","0.2","sesonality2","18","0",97.2413793103448
0.0284783890742816,0.0537382962210894,0.0838839725568682,"Coverage","0.2","sesonality2","18","0",98.6206896551724
NA,NA,NA,"Coverage","0.2","sesonality2","18","0",100
0.0167211380126592,0.031780134078356,0.0484394078790372,"initialEfficacy","0.2","sesonality2","18","0",0.5
0.0169826734743946,0.0324898678795445,0.0497449971957706,"initialEfficacy","0.2","sesonality2","18","0",0.517241379310345
0.0180492039273158,0.0340714976167653,0.0514435137131497,"initialEfficacy","0.2","sesonality2","18","0",0.53448275862069
0.0185575809055769,0.0352806023755768,0.0540640024986514,"initialEfficacy","0.2","sesonality2","18","0",0.551724137931034
0.0188499048129809,0.0361876544045884,0.0554166604025047,"initialEfficacy","0.2","sesonality2","18","0",0.568965517241379
0.0192715219166262,0.0379009265311255,0.0571746502210596,"initialEfficacy","0.2","sesonality2","18","0",0.586206896551724
0.0205653871396382,0.038567260084513,0.0585544807790846,"initialEfficacy","0.2","sesonality2","18","0",0.603448275862069
0.0211696306355114,0.0400988855312579,0.0617275911683922,"initialEfficacy","0.2","sesonality2","18","0",0.620689655172414
0.0221061997296595,0.0416962932937143,0.0628828206303846,"initialEfficacy","0.2","sesonality2","18","0",0.637931034482759
0.022149350263005,0.0418463221772792,0.063962693250504,"initialEfficacy","0.2","sesonality2","18","0",0.655172413793103
0.0235699959326598,0.0433660792453338,0.0657191985593135,"initialEfficacy","0.2","sesonality2","18","0",0.672413793103448
0.0228239786627062,0.0448352483920581,0.0681681491893555,"initialEfficacy","0.2","sesonality2","18","0",0.689655172413793
0.0239369060440164,0.0461062952170163,0.0701569836420184,"initialEfficacy","0.2","sesonality2","18","0",0.706896551724138
0.0249125692383566,0.0474553948082816,0.0717338040265629,"initialEfficacy","0.2","sesonality2","18","0",0.724137931034483
0.0247258425116409,0.0471828301125899,0.0723313358015808,"initialEfficacy","0.2","sesonality2","18","0",0.741379310344828
0.0251697828908636,0.0487313073665911,0.0741084304485213,"initialEfficacy","0.2","sesonality2","18","0",0.758620689655172
0.025657883203347,0.0491324717820377,0.0760357554567754,"initialEfficacy","0.2","sesonality2","18","0",0.775862068965517
0.0263717737689677,0.0509796749825289,0.0777935767997351,"initialEfficacy","0.2","sesonality2","18","0",0.793103448275862
0.0279627861733267,0.0527505287109646,0.0801548373917425,"initialEfficacy","0.2","sesonality2","18","0",0.810344827586207
0.0277768073679383,0.052895556391569,0.0805294260836942,"initialEfficacy","0.2","sesonality2","18","0",0.827586206896552
0.0281936694237723,0.0555011371229492,0.0845703421183096,"initialEfficacy","0.2","sesonality2","18","0",0.844827586206897
0.0296448851590516,0.0557020627523607,0.0852128034273799,"initialEfficacy","0.2","sesonality2","18","0",0.862068965517241
0.0310445777250951,0.0586229138054427,0.0887486181453987,"initialEfficacy","0.2","sesonality2","18","0",0.879310344827586
