"Vaccine_type","half_life","Degree_resistance","Access","eir","seasonality","Age","Blood_coverage","IR"
"PEV",1,"0",0.1,50,"sesonality2","Children","0",40.8401761911261
"BSV",1,"0",0.1,50,"sesonality2","Children","0",50.6037343877273
"PEV",1.5,"0",0.1,50,"sesonality2","Children","0",37.978834757364
"BSV",1.5,"0",0.1,50,"sesonality2","Children","0",48.7998048374457
"PEV",1.5,"0",0.1,50,"sesonality2","Children","0",46.2805257820911
"BSV",1.5,"0",0.1,50,"sesonality2","Children","0",57.6802272882322
"PEV",1,"0.25",0.1,50,"sesonality2","Children","0",28.5478233093744
"BSV",1,"0.25",0.1,50,"sesonality2","Children","0",34.5207782299506
"PEV",1,"0.25",0.1,50,"sesonality2","Children","0",33.3402078235018
"BSV",1,"0.25",0.1,50,"sesonality2","Children","0",40.211805628913
"PEV",1.5,"0.25",0.1,50,"sesonality2","Children","0",31.5482580686704
"BSV",1.5,"0.25",0.1,50,"sesonality2","Children","0",39.1581466269605
"PEV",1.5,"0.25",0.1,50,"sesonality2","Children","0",36.869914396886
"BSV",1.5,"0.25",0.1,50,"sesonality2","Children","0",46.087331153404
"PEV",1,"0.5",0.1,50,"sesonality2","Children","0",23.2584878843146
"BSV",1,"0.5",0.1,50,"sesonality2","Children","0",28.6855199009181
"PEV",1,"0.5",0.1,50,"sesonality2","Children","0",26.4307431070199
"BSV",1,"0.5",0.1,50,"sesonality2","Children","0",32.2668545927203
"PEV",1.5,"0.5",0.1,50,"sesonality2","Children","0",25.2239420228003
"BSV",1.5,"0.5",0.1,50,"sesonality2","Children","0",31.6669490979238
"PEV",1.5,"0.5",0.1,50,"sesonality2","Children","0",29.6114446598813
"BSV",1.5,"0.5",0.1,50,"sesonality2","Children","0",36.226775684878
"PEV",1,"0.75",0.1,50,"sesonality2","Children","0",17.846974553497
"BSV",1,"0.75",0.1,50,"sesonality2","Children","0",24.1009970642672
"PEV",1,"0.75",0.1,50,"sesonality2","Children","0",21.265796420145
"BSV",1,"0.75",0.1,50,"sesonality2","Children","0",25.8642968942015
"PEV",1.5,"0.75",0.1,50,"sesonality2","Children","0",20.1168951450383
"BSV",1.5,"0.75",0.1,50,"sesonality2","Children","0",26.2802375099587
"PEV",1.5,"0.75",0.1,50,"sesonality2","Children","0",23.3820411050428
"BSV",1.5,"0.75",0.1,50,"sesonality2","Children","0",28.8237469047178
"PEV",1,"1",0.1,50,"sesonality2","Children","0",13.8677614141603
"BSV",1,"1",0.1,50,"sesonality2","Children","0",18.8386083372699
"PEV",1,"1",0.1,50,"sesonality2","Children","0",15.9730993170853
"BSV",1,"1",0.1,50,"sesonality2","Children","0",21.1582551601979
"PEV",1.5,"1",0.1,50,"sesonality2","Children","0",15.1799154960749
"BSV",1.5,"1",0.1,50,"sesonality2","Children","0",21.5970928738764
"PEV",1.5,"1",0.1,50,"sesonality2","Children","0",17.4844587947046
"BSV",1.5,"1",0.1,50,"sesonality2","Children","0",23.0118647702709
"PEV",1,"0",0.3,50,"sesonality2","Children","0",37.2143424402653
"BSV",1,"0",0.3,50,"sesonality2","Children","0",37.8100654038588
"PEV",1,"0",0.3,50,"sesonality2","Children","0",44.010516783217
"BSV",1,"0",0.3,50,"sesonality2","Children","0",45.7802009746274
"PEV",1.5,"0",0.3,50,"sesonality2","Children","0",40.9869980810651
"BSV",1.5,"0",0.3,50,"sesonality2","Children","0",43.3731626811776
"PEV",1.5,"0",0.3,50,"sesonality2","Children","0",48.5357961526873
"BSV",1.5,"0",0.3,50,"sesonality2","Children","0",53.2085121811051
"PEV",1,"0.25",0.3,50,"sesonality2","Children","0",31.16059454383
"BSV",1,"0.25",0.3,50,"sesonality2","Children","0",30.2698469853949
"PEV",1,"0.25",0.3,50,"sesonality2","Children","0",35.8635764355807
"BSV",1,"0.25",0.3,50,"sesonality2","Children","0",35.9793523040257
"PEV",1.5,"0.25",0.3,50,"sesonality2","Children","0",34.3694310115535
"BSV",1.5,"0.25",0.3,50,"sesonality2","Children","0",34.3493726283194
"PEV",1.5,"0.25",0.3,50,"sesonality2","Children","0",39.5394303519877
"BSV",1.5,"0.25",0.3,50,"sesonality2","Children","0",41.0766167786129
"PEV",1,"0.5",0.3,50,"sesonality2","Children","0",25.6178850711104
"BSV",1,"0.5",0.3,50,"sesonality2","Children","0",24.8465280400545
"PEV",1,"0.5",0.3,50,"sesonality2","Children","0",29.1046137126877
"BSV",1,"0.5",0.3,50,"sesonality2","Children","0",28.637663516316
"PEV",1.5,"0.5",0.3,50,"sesonality2","Children","0",27.8814310253236
"BSV",1.5,"0.5",0.3,50,"sesonality2","Children","0",27.8138252347667
"PEV",1.5,"0.5",0.3,50,"sesonality2","Children","0",32.2682320572696
"BSV",1.5,"0.5",0.3,50,"sesonality2","Children","0",32.2436534044554
"PEV",1,"0.75",0.3,50,"sesonality2","Children","0",19.9838321115559
"BSV",1,"0.75",0.3,50,"sesonality2","Children","0",20.8309473248645
"PEV",1,"0.75",0.3,50,"sesonality2","Children","0",22.4211608979162
"BSV",1,"0.75",0.3,50,"sesonality2","Children","0",23.4225183219454
"PEV",1.5,"0.75",0.3,50,"sesonality2","Children","0",21.7402881838323
"BSV",1.5,"0.75",0.3,50,"sesonality2","Children","0",23.0189546322432
"PEV",1.5,"0.75",0.3,50,"sesonality2","Children","0",25.0049624519123
"BSV",1.5,"0.75",0.3,50,"sesonality2","Children","0",26.4990960296027
"PEV",1,"1",0.3,50,"sesonality2","Children","0",14.9376237975784
"BSV",1,"1",0.3,50,"sesonality2","Children","0",17.6088315480727
"PEV",1,"1",0.3,50,"sesonality2","Children","0",17.3732276956479
"BSV",1,"1",0.3,50,"sesonality2","Children","0",19.8788698382885
"PEV",1.5,"1",0.3,50,"sesonality2","Children","0",16.4633615349023
"BSV",1.5,"1",0.3,50,"sesonality2","Children","0",19.876618762031
"PEV",1.5,"1",0.3,50,"sesonality2","Children","0",19.0988147028583
"BSV",1.5,"1",0.3,50,"sesonality2","Children","0",22.9094910136578
"PEV",1,"0",0.1,150,"sesonality2","Children","0",26.2922093961031
"BSV",1,"0",0.1,150,"sesonality2","Children","0",44.0739806413174
"PEV",1,"0",0.1,150,"sesonality2","Children","0",32.3451274633181
"BSV",1,"0",0.1,150,"sesonality2","Children","0",52.074396182429
"PEV",1.5,"0",0.1,150,"sesonality2","Children","0",30.1024295557891
"BSV",1.5,"0",0.1,150,"sesonality2","Children","0",50.9774011248562
"PEV",1.5,"0",0.1,150,"sesonality2","Children","0",37.636183684157
"BSV",1.5,"0",0.1,150,"sesonality2","Children","0",59.2408770357585
"PEV",1,"0.25",0.1,150,"sesonality2","Children","0",20.6547228963572
"BSV",1,"0.25",0.1,150,"sesonality2","Children","0",35.5434009388614
"PEV",1,"0.25",0.1,150,"sesonality2","Children","0",25.0457726775077
"BSV",1,"0.25",0.1,150,"sesonality2","Children","0",40.4095227963612
"PEV",1.5,"0.25",0.1,150,"sesonality2","Children","0",23.6644689624705
"BSV",1.5,"0.25",0.1,150,"sesonality2","Children","0",40.0985269636228
"PEV",1.5,"0.25",0.1,150,"sesonality2","Children","0",28.9260388051667
"BSV",1.5,"0.25",0.1,150,"sesonality2","Children","0",46.7771253068324
"PEV",1,"0.5",0.1,150,"sesonality2","Children","0",16.3888609411841
"BSV",1,"0.5",0.1,150,"sesonality2","Children","0",27.1087589322203
"PEV",1,"0.5",0.1,150,"sesonality2","Children","0",19.7033887819339
"BSV",1,"0.5",0.1,150,"sesonality2","Children","0",30.7562901602458
"PEV",1.5,"0.5",0.1,150,"sesonality2","Children","0",18.6352927958219
"BSV",1.5,"0.5",0.1,150,"sesonality2","Children","0",30.1566356612107
"PEV",1.5,"0.5",0.1,150,"sesonality2","Children","0",21.9808816061021
"BSV",1.5,"0.5",0.1,150,"sesonality2","Children","0",33.828920095328
"PEV",1,"0.75",0.1,150,"sesonality2","Children","0",12.2142230151007
"BSV",1,"0.75",0.1,150,"sesonality2","Children","0",21.6670061883115
"PEV",1,"0.75",0.1,150,"sesonality2","Children","0",14.8324334750817
"BSV",1,"0.75",0.1,150,"sesonality2","Children","0",23.4621562520169
"PEV",1.5,"0.75",0.1,150,"sesonality2","Children","0",14.0187896884559
"BSV",1.5,"0.75",0.1,150,"sesonality2","Children","0",23.477669444823
"PEV",1.5,"0.75",0.1,150,"sesonality2","Children","0",16.4799342269156
"BSV",1.5,"0.75",0.1,150,"sesonality2","Children","0",25.5313967925132
"PEV",1,"1",0.1,150,"sesonality2","Children","0",8.77522230899995
"BSV",1,"1",0.1,150,"sesonality2","Children","0",16.3175491978736
"PEV",1,"1",0.1,150,"sesonality2","Children","0",10.1004415669535
"BSV",1,"1",0.1,150,"sesonality2","Children","0",17.3854313526024
"PEV",1.5,"1",0.1,150,"sesonality2","Children","0",9.75631816029774
"BSV",1.5,"1",0.1,150,"sesonality2","Children","0",17.6529674802956
