"Test_True","Test_predicted","seasonality","Coverage_reduced","Vaccine_type","Drug"
0.110383451583811,0.108317651832652,"sesonality2","0.2","BSV","No"
0.133378196493102,0.133898456125829,"sesonality2","0.2","BSV","No"
0.112016776721187,0.113166335673865,"sesonality2","0.2","BSV","No"
0.100752769882848,0.10536393254551,"sesonality2","0.2","BSV","No"
0.0758960263889512,0.0674812918401876,"sesonality2","0.2","BSV","No"
0.190462195541595,0.187137217704211,"sesonality2","0.2","BSV","No"
0.0923532680309337,0.0939585810397248,"sesonality2","0.2","BSV","No"
0.0373802841802384,0.0366040658547077,"sesonality2","0.2","BSV","No"
0.0637822066676973,0.0738585758365351,"sesonality2","0.2","BSV","No"
0.0885148611443354,0.0833796593217998,"sesonality2","0.2","BSV","No"
0.12535073226095,0.123719266789989,"sesonality2","0.2","BSV","No"
0.0229745979584572,0.0192636868577852,"sesonality2","0.2","BSV","No"
0.0856295024632652,0.0844963958837183,"sesonality2","0.2","BSV","No"
0.161361172741648,0.165745299343468,"sesonality2","0.2","BSV","No"
0.10367360566723,0.102831273865414,"sesonality2","0.2","BSV","No"
0.0120529337890667,0.0143945864615877,"sesonality2","0.2","BSV","No"
0.0246300946908485,0.030990388031253,"sesonality2","0.2","BSV","No"
0.0859284836300457,0.0848013576842645,"sesonality2","0.2","BSV","No"
0.0543022433849073,0.0500715467347338,"sesonality2","0.2","BSV","No"
0.133329051159971,0.133953923698496,"sesonality2","0.2","BSV","No"
0.120193377131818,0.132670407163774,"sesonality2","0.2","BSV","No"
0.0290778546068204,0.0283212995101097,"sesonality2","0.2","BSV","No"
0.0260373638281112,0.0191313130723877,"sesonality2","0.2","BSV","No"
0.126402942833169,0.120918173149725,"sesonality2","0.2","BSV","No"
0.137268657759067,0.135982212654579,"sesonality2","0.2","BSV","No"
0.139700817557592,0.134757518652073,"sesonality2","0.2","BSV","No"
0.115320581670018,0.108537038711676,"sesonality2","0.2","BSV","No"
0.0876764499005406,0.0868243653312001,"sesonality2","0.2","BSV","No"
0.0221667466934535,0.0185310194759639,"sesonality2","0.2","BSV","No"
0.0719904590647571,0.0695519135629179,"sesonality2","0.2","BSV","No"
0.184590976487668,0.18067495492005,"sesonality2","0.2","BSV","No"
0.106378671482791,0.109701256731998,"sesonality2","0.2","BSV","No"
0.21720004438627,0.21795571183892,"sesonality2","0.2","BSV","No"
0.138572574770676,0.136826464928493,"sesonality2","0.2","BSV","No"
0.209472397042933,0.210767346551365,"sesonality2","0.2","BSV","No"
0.115157143163235,0.119176671253333,"sesonality2","0.2","BSV","No"
0.220546752695297,0.219035923332008,"sesonality2","0.2","BSV","No"
0.023122838104263,0.0248310816539827,"sesonality2","0.2","BSV","No"
0.168733038877239,0.170475888332957,"sesonality2","0.2","BSV","No"
0.138785972903131,0.1399784267063,"sesonality2","0.2","BSV","No"
0.11084120537173,0.110950674678496,"sesonality2","0.2","BSV","No"
0.178518474475678,0.174883687350655,"sesonality2","0.2","BSV","No"
0.0341754728632678,0.0343801605302989,"sesonality2","0.2","BSV","No"
0.168399840645758,0.171124665793673,"sesonality2","0.2","BSV","No"
0.00431451194137278,0.00349929525314971,"sesonality2","0.2","BSV","No"
0.123486747403403,0.120598763821881,"sesonality2","0.2","BSV","No"
0.0075060133083849,0.0299961246872039,"sesonality2","0.2","BSV","No"
0.0947613494503913,0.0935971330671275,"sesonality2","0.2","BSV","No"
0.0601057595599979,0.0577364636799037,"sesonality2","0.2","BSV","No"
0.14397046785765,0.145314605210538,"sesonality2","0.2","BSV","No"
0.212026314413069,0.209619266891412,"sesonality2","0.2","BSV","No"
0.219590522900039,0.221955570800916,"sesonality2","0.2","BSV","No"
0.257647753231886,0.238852709614585,"sesonality2","0.2","BSV","No"
0.149134555325972,0.149066507049684,"sesonality2","0.2","BSV","No"
0.246401418410303,0.24084639483021,"sesonality2","0.2","BSV","No"
0.153283215823762,0.141604070269905,"sesonality2","0.2","BSV","No"
0.185114023645172,0.191149699792159,"sesonality2","0.2","BSV","No"
0.178729989729622,0.169574432386798,"sesonality2","0.2","BSV","No"
0.00964865853754233,0.000908196420415008,"sesonality2","0.2","BSV","No"
0.200430724659659,0.190634728468957,"sesonality2","0.2","BSV","No"
0.0743699531413276,0.0709375313329318,"sesonality2","0.2","BSV","No"
0.15884734379873,0.162863946303464,"sesonality2","0.2","BSV","No"
0.127632578582645,0.124038780487386,"sesonality2","0.2","BSV","No"
0.223242685117045,0.230315625053624,"sesonality2","0.2","BSV","No"
0.00382971120845143,-0.000789029367669766,"sesonality2","0.2","BSV","No"
0.221858144776109,0.225370136509887,"sesonality2","0.2","BSV","No"
0.0117550640405391,0.00909629861710981,"sesonality2","0.2","BSV","No"
0.112551265624704,0.108104571835079,"sesonality2","0.2","BSV","No"
0.236792940812232,0.228994690468232,"sesonality2","0.2","BSV","No"
0.219899682136603,0.230633778383906,"sesonality2","0.2","BSV","No"
0.00566194146689618,0.00392007758848299,"sesonality2","0.2","BSV","No"
0.221199856225024,0.218958113519134,"sesonality2","0.2","BSV","No"
0.00280382148234417,0.00182546727562588,"sesonality2","0.2","BSV","No"
0.00664436411244599,0.0220953906640362,"sesonality2","0.2","BSV","No"
0.158693693427902,0.151748191796341,"sesonality2","0.2","BSV","No"
0.252316744218769,0.242685282420935,"sesonality2","0.2","BSV","No"
0.237413611827345,0.247611899693955,"sesonality2","0.2","BSV","No"
0.245921684795609,0.24206333516764,"sesonality2","0.2","BSV","No"
0.240423360225016,0.230480182947306,"sesonality2","0.2","BSV","No"
