"Vaccine_type","half_life","Degree_resistance","Access","eir","seasonality","Age","Blood_coverage","IR"
"BSV",1,0.75,0.1,5,"sesonality2","Children","1",29.9931382231052
"PEV",1,1,0.1,5,"sesonality2","Children","1",28.0156468899622
"BSV",1,1,0.1,5,"sesonality2","Children","1",27.0019062724864
"PEV",1,0,0.1,5,"sesonality1","0.75","0",84.2061316908811
"PEV",1,0,0.1,5,"sesonality2","0.75","0",80.1823060717691
"PEV",1,0,0.1,5,"sesonality1","18","0",42.0844871266127
"PEV",1,0,0.1,5,"sesonality2","18","0",43.6648068366411
"PEV",1,0,0.1,5,"sesonality1","0.75","1",93.6831755568292
"PEV",1,0,0.1,5,"sesonality2","0.75","1",91.2153548326172
"PEV",1,0,0.1,5,"sesonality1","18","1",47.8070866141733
"PEV",1,0,0.1,5,"sesonality2","18","1",49.2156469881079
"PEV",1,0.25,0.1,5,"sesonality1","0.75","0",76.7751980628398
"PEV",1,0.25,0.1,5,"sesonality2","0.75","0",72.0555522862355
"PEV",1,0.25,0.1,5,"sesonality1","18","0",36.2649502150473
"PEV",1,0.25,0.1,5,"sesonality2","18","0",38.4673788293457
"PEV",1,0.25,0.1,5,"sesonality1","0.75","1",88.9028879171916
"PEV",1,0.25,0.1,5,"sesonality2","0.75","1",85.9666414844893
"PEV",1,0.25,0.1,5,"sesonality1","18","1",41.8036417322836
"PEV",1,0.25,0.1,5,"sesonality2","18","1",44.3362758848278
"PEV",1,0.5,0.1,5,"sesonality1","0.75","0",67.4671041321828
"PEV",1,0.5,0.1,5,"sesonality2","0.75","0",64.0071558456079
"PEV",1,0.5,0.1,5,"sesonality1","18","0",30.8522808171761
"PEV",1,0.5,0.1,5,"sesonality2","18","0",32.959795652916
"PEV",1,0.5,0.1,5,"sesonality1","0.75","1",81.9852269077794
"PEV",1,0.5,0.1,5,"sesonality2","0.75","1",79.8780631757873
"PEV",1,0.5,0.1,5,"sesonality1","18","1",36.85531496063
"PEV",1,0.5,0.1,5,"sesonality2","18","1",39.4327436444422
"PEV",1,0.75,0.1,5,"sesonality1","0.75","0",57.0840598217135
"PEV",1,0.75,0.1,5,"sesonality2","0.75","0",54.384209782967
"PEV",1,0.75,0.1,5,"sesonality1","18","0",25.6852627392838
"PEV",1,0.75,0.1,5,"sesonality2","18","0",27.1928430593566
"PEV",1,0.75,0.1,5,"sesonality1","0.75","1",72.414832382223
"PEV",1,0.75,0.1,5,"sesonality2","0.75","1",71.184900136928
"PEV",1,0.75,0.1,5,"sesonality1","18","1",31.7893700787402
"PEV",1,0.75,0.1,5,"sesonality2","18","1",33.8232347637511
"PEV",1,1,0.1,5,"sesonality1","0.75","0",45.1053776749623
"PEV",1,1,0.1,5,"sesonality2","0.75","0",43.5079418324769
"PEV",1,1,0.1,5,"sesonality1","18","0",20.5879031584941
"PEV",1,1,0.1,5,"sesonality2","18","0",21.2084115614832
"PEV",1,1,0.1,5,"sesonality1","0.75","1",61.755173027135
"PEV",1,1,0.1,5,"sesonality2","0.75","1",63.168704849143
"PEV",1,1,0.1,5,"sesonality1","18","1",26.3636811023621
"PEV",1,1,0.1,5,"sesonality2","18","1",29.3428170707272
"PEV",1,0,0.1,5,"sesonality1","0.75","0",83.5048712091295
"PEV",1,0,0.1,5,"sesonality2","0.75","0",79.764481411919
"PEV",1,0,0.1,5,"sesonality1","18","0",40.680678278002
"PEV",1,0,0.1,5,"sesonality2","18","0",43.7514905795373
"PEV",1,0,0.1,5,"sesonality1","0.75","1",93.379554447232
"PEV",1,0,0.1,5,"sesonality2","0.75","1",91.3421518442329
"PEV",1,0,0.1,5,"sesonality1","18","1",46.5403793630511
"PEV",1,0,0.1,5,"sesonality2","18","1",50.7938781844664
"PEV",1,0.25,0.1,5,"sesonality1","0.75","0",75.7329161189062
"PEV",1,0.25,0.1,5,"sesonality2","0.75","0",72.2766137591376
"PEV",1,0.25,0.1,5,"sesonality1","18","0",35.1106866220955
"PEV",1,0.25,0.1,5,"sesonality2","18","0",38.1087526830431
"PEV",1,0.25,0.1,5,"sesonality1","0.75","1",88.2895338840316
"PEV",1,0.25,0.1,5,"sesonality2","0.75","1",86.1772233650672
"PEV",1,0.25,0.1,5,"sesonality1","18","1",40.4901150116517
"PEV",1,0.25,0.1,5,"sesonality2","18","1",45.4444524031232
"PEV",1,0.5,0.1,5,"sesonality1","0.75","0",66.6791630427175
"PEV",1,0.5,0.1,5,"sesonality2","0.75","0",63.1501433997364
"PEV",1,0.5,0.1,5,"sesonality1","18","0",29.845783036134
"PEV",1,0.5,0.1,5,"sesonality2","18","0",31.4977343191032
"PEV",1,0.5,0.1,5,"sesonality1","0.75","1",81.1436960467373
"PEV",1,0.5,0.1,5,"sesonality2","0.75","1",79.5824761995886
"PEV",1,0.5,0.1,5,"sesonality1","18","1",35.3223583652811
"PEV",1,0.5,0.1,5,"sesonality2","18","1",39.8192584103338
"PEV",1,0.75,0.1,5,"sesonality1","0.75","0",55.9899230734626
"PEV",1,0.75,0.1,5,"sesonality2","0.75","0",53.2314131880057
"PEV",1,0.75,0.1,5,"sesonality1","18","0",24.1777968907041
"PEV",1,0.75,0.1,5,"sesonality2","18","0",25.6388547715864
