"Test_True","Test_predicted","iteration","seasonality","Coverage_reduced","Age","Blood_coverage"
0.0976527947335783,0.101800447666472,1,"sesonality1",0,18,0
0.057928029327529,0.0765789708671741,1,"sesonality1",0,18,0
0.0080997238875533,0.0016202233733973,1,"sesonality1",0,18,0
0.0110240863902572,0.0141230239370657,1,"sesonality1",0,18,0
0.0256759482733556,0.0264835776416382,1,"sesonality1",0,18,0
0.141617014558643,0.139034147361705,1,"sesonality1",0,18,0
0.0251250183997818,0.0247714337585656,1,"sesonality1",0,18,0
0.0429018844715291,0.0460110460840077,1,"sesonality1",0,18,0
0.0214406097586797,0.0240745548953761,1,"sesonality1",0,18,0
0.0383611372778399,0.0370926420946038,1,"sesonality1",0,18,0
0.0220422549321925,0.0222785440506096,1,"sesonality1",0,18,0
0.108300522586869,0.110238620383935,1,"sesonality1",0,18,0
0.066305053717237,0.0662649563992224,1,"sesonality1",0,18,0
0.0784534967532018,0.077840700969166,1,"sesonality1",0,18,0
0.0820013257214522,0.0857034352451675,1,"sesonality1",0,18,0
0.0529401706858656,0.0543267035325633,1,"sesonality1",0,18,0
0.0478713218889708,0.0481027788383164,1,"sesonality1",0,18,0
0.052171196768683,0.0552580755367554,1,"sesonality1",0,18,0
0.00621872578245128,0.00181492401230202,1,"sesonality1",0,18,0
0.0689391219736879,0.0702918588764022,1,"sesonality1",0,18,0
0.0224886175323342,0.0206395840788559,1,"sesonality1",0,18,0
0.116887175951283,0.117453337749338,1,"sesonality1",0,18,0
0.0597872003645574,0.0606973178727778,1,"sesonality1",0,18,0
0.0759740720764546,0.0832258130322849,1,"sesonality1",0,18,0
0.0461888757154165,0.0428331567764802,1,"sesonality1",0,18,0
0.0302012019425112,0.0295687907586709,1,"sesonality1",0,18,0
0.0376569287321336,0.0341565423849116,1,"sesonality1",0,18,0
0.0146140792116644,0.0151104519397505,1,"sesonality1",0,18,0
0.00340631891726258,0.00304152175923387,1,"sesonality1",0,18,0
0.0889180851412782,0.092671283601077,1,"sesonality1",0,18,0
0.0607702550210344,0.0616829897518687,1,"sesonality1",0,18,0
0.029292110854195,0.0269421274885304,1,"sesonality1",0,18,0
0.0573385541114857,0.0568566605642202,1,"sesonality1",0,18,0
