"L","M","U","G","Coverage_reduced","Seasonality","Age","Blood_coverage","Range"
0.105451635084303,0.176860443969186,0.236553773237331,"Coverage","0","sesonality1","0.75","1",60
0.106330516166078,0.179110857473427,0.241275426268909,"Coverage","0","sesonality1","0.75","1",61.3793103448276
0.103475270089463,0.178547065442964,0.245547488218447,"Coverage","0","sesonality1","0.75","1",62.7586206896552
0.110176922753186,0.183730006477368,0.252165791221699,"Coverage","0","sesonality1","0.75","1",64.1379310344828
0.110405364990935,0.185895867481847,0.25578803795329,"Coverage","0","sesonality1","0.75","1",65.5172413793103
0.111121014019656,0.189258846669841,0.263743657010604,"Coverage","0","sesonality1","0.75","1",66.8965517241379
0.115665281720689,0.193223683643973,0.267269144051727,"Coverage","0","sesonality1","0.75","1",68.2758620689655
0.116352951377665,0.194818097250481,0.273965037567706,"Coverage","0","sesonality1","0.75","1",69.6551724137931
0.118784745893381,0.198581263269122,0.28203926370961,"Coverage","0","sesonality1","0.75","1",71.0344827586207
0.1195345342942,0.200936593320813,0.286125974367386,"Coverage","0","sesonality1","0.75","1",72.4137931034483
0.126978002450403,0.207358537504211,0.294689700215536,"Coverage","0","sesonality1","0.75","1",73.7931034482759
0.125390603777849,0.209729684439222,0.300793480939192,"Coverage","0","sesonality1","0.75","1",75.1724137931034
0.131351334828701,0.216335853733135,0.306576497226459,"Coverage","0","sesonality1","0.75","1",76.551724137931
0.131727364920366,0.22029032204391,0.317545697043268,"Coverage","0","sesonality1","0.75","1",77.9310344827586
0.129371665354785,0.218539368567241,0.322707809863136,"Coverage","0","sesonality1","0.75","1",79.3103448275862
0.134358688273622,0.22564360656258,0.332789920951744,"Coverage","0","sesonality1","0.75","1",80.6896551724138
0.13517671865962,0.227761573657054,0.337427169742517,"Coverage","0","sesonality1","0.75","1",82.0689655172414
0.137661294914494,0.232264621329339,0.350833649811857,"Coverage","0","sesonality1","0.75","1",83.448275862069
0.137473933856508,0.233198530233709,0.354126141942685,"Coverage","0","sesonality1","0.75","1",84.8275862068966
0.134767564398379,0.233450952585686,0.359186105798093,"Coverage","0","sesonality1","0.75","1",86.2068965517241
0.135636273174456,0.237703644575521,0.370371753996756,"Coverage","0","sesonality1","0.75","1",87.5862068965517
0.137344016574629,0.242053869433502,0.376715683415912,"Coverage","0","sesonality1","0.75","1",88.9655172413793
0.140036564829306,0.24791621582934,0.392251874639498,"Coverage","0","sesonality1","0.75","1",90.3448275862069
0.14319499026261,0.252889326847423,0.405740470418315,"Coverage","0","sesonality1","0.75","1",91.7241379310345
0.142259655932407,0.257777675372267,0.419727428524784,"Coverage","0","sesonality1","0.75","1",93.1034482758621
0.147214394234521,0.266459030771151,0.433005625643088,"Coverage","0","sesonality1","0.75","1",94.4827586206897
0.151537984794672,0.274122742546379,0.447860308043905,"Coverage","0","sesonality1","0.75","1",95.8620689655172
0.151789458473142,0.280551833383175,0.456401883927489,"Coverage","0","sesonality1","0.75","1",97.2413793103448
0.155733089203207,0.288640347019161,0.472061477944273,"Coverage","0","sesonality1","0.75","1",98.6206896551724
NA,NA,NA,"Coverage","0","sesonality1","0.75","1",100
0.079032398122807,0.141701846491678,0.200466897864116,"initialEfficacy","0","sesonality1","0.75","1",0.5
0.082973164770566,0.148758922931039,0.210996834360153,"initialEfficacy","0","sesonality1","0.75","1",0.517241379310345
0.0832335262262476,0.153712579629551,0.219261279471031,"initialEfficacy","0","sesonality1","0.75","1",0.53448275862069
0.0892683591827759,0.160643928506928,0.225314567298102,"initialEfficacy","0","sesonality1","0.75","1",0.551724137931034
0.0912563363997007,0.167436092280056,0.234615774802096,"initialEfficacy","0","sesonality1","0.75","1",0.568965517241379
0.0975007917930736,0.174827843435803,0.240381136354592,"initialEfficacy","0","sesonality1","0.75","1",0.586206896551724
