"L","M","U","G","Vaccine_type","Range"
0.0511355607681567,0.0937129205016617,0.132571558406699,"Coverage","BSV",60
0.0524129816660472,0.0956442061763407,0.1347867785732,"Coverage","BSV",61.3793103448276
0.0541431596395571,0.0989157092942266,0.139075266117824,"Coverage","BSV",62.7586206896552
0.0531207246189785,0.0985408766321128,0.139175945360322,"Coverage","BSV",64.1379310344828
0.0556596518819359,0.102005029631872,0.142526404096931,"Coverage","BSV",65.5172413793103
0.0559318520000491,0.103286923278769,0.146128133993551,"Coverage","BSV",66.8965517241379
0.0578987584436817,0.104986669216892,0.148903015434715,"Coverage","BSV",68.2758620689655
0.056313258775162,0.104517533774896,0.149013944924646,"Coverage","BSV",69.6551724137931
0.0614405208376199,0.11003765457158,0.154580987922644,"Coverage","BSV",71.0344827586207
0.0606415976524161,0.110219698937832,0.155534291166168,"Coverage","BSV",72.4137931034483
0.0608311751751363,0.111192029046611,0.157613083686862,"Coverage","BSV",73.7931034482759
0.061328199885948,0.114172818562542,0.161653861200404,"Coverage","BSV",75.1724137931034
0.0635288843699817,0.115770234555448,0.163241366526372,"Coverage","BSV",76.551724137931
0.065835422626044,0.117161125537137,0.165507874627807,"Coverage","BSV",77.9310344827586
0.0656423695114386,0.118465042695698,0.167406274608143,"Coverage","BSV",79.3103448275862
0.0652440427359769,0.119901688193808,0.169418442426065,"Coverage","BSV",80.6896551724138
0.0682507851516882,0.122181165255733,0.173125401809657,"Coverage","BSV",82.0689655172414
0.0671183924511254,0.122462493977697,0.173363923165891,"Coverage","BSV",83.448275862069
0.069856266759354,0.125223618097519,0.177901013947304,"Coverage","BSV",84.8275862068966
0.0712290350036724,0.126097433929553,0.178583581368779,"Coverage","BSV",86.2068965517241
0.0722401308606787,0.127935897416973,0.179986714685909,"Coverage","BSV",87.5862068965517
0.0719471422319263,0.129414614689825,0.183246089115174,"Coverage","BSV",88.9655172413793
0.0726305923299171,0.130906783954253,0.185528775928571,"Coverage","BSV",90.3448275862069
0.0753967793338697,0.134247774890305,0.188383015215642,"Coverage","BSV",91.7241379310345
0.0765249697649852,0.134658375127334,0.190034331932902,"Coverage","BSV",93.1034482758621
0.0805660712870029,0.139877730009506,0.19429087931398,"Coverage","BSV",94.4827586206897
0.0781828351311183,0.137118303088921,0.193140302200524,"Coverage","BSV",95.8620689655172
0.0810732086840301,0.140414839295227,0.196769269956988,"Coverage","BSV",97.2413793103448
0.0813493722375689,0.141510923705771,0.197980815082835,"Coverage","BSV",98.6206896551724
NA,NA,NA,"Coverage","BSV",100
0.042109917610903,0.0854022635277454,0.128310603554418,"initialEfficacy","BSV",0.5
0.0421471389890334,0.087455700724609,0.131848369499227,"initialEfficacy","BSV",0.517241379310345
0.0444368150556131,0.0907476795859256,0.135284388037975,"initialEfficacy","BSV",0.53448275862069
0.0460366975276763,0.0931332424603578,0.137578238216573,"initialEfficacy","BSV",0.551724137931034
0.0492675719358757,0.0969582504817703,0.140220029759431,"initialEfficacy","BSV",0.568965517241379
0.050660515024928,0.0980080539614673,0.143998635390819,"initialEfficacy","BSV",0.586206896551724
0.0527672865583608,0.0993494733614817,0.145124898494053,"initialEfficacy","BSV",0.603448275862069
0.054979306662067,0.103587602726838,0.148572565536073,"initialEfficacy","BSV",0.620689655172414
0.0569475028368103,0.10600565742425,0.153254956340583,"initialEfficacy","BSV",0.637931034482759
0.0576288741943052,0.107778509458073,0.154707891129919,"initialEfficacy","BSV",0.655172413793103
0.0595895751715542,0.110182328365333,0.156920012336351,"initialEfficacy","BSV",0.672413793103448
0.0618685092419743,0.112958835928835,0.160144779961154,"initialEfficacy","BSV",0.689655172413793
0.0641436397171078,0.116863416822067,0.163041866842085,"initialEfficacy","BSV",0.706896551724138
0.0653339574168334,0.117492707874814,0.16385986133041,"initialEfficacy","BSV",0.724137931034483
0.0684505862287431,0.119980192241615,0.168331057182669,"initialEfficacy","BSV",0.741379310344828
0.0701772839831631,0.122834019567713,0.169919483495394,"initialEfficacy","BSV",0.758620689655172
0.0706437638046591,0.124200929770884,0.17327247994566,"initialEfficacy","BSV",0.775862068965517
0.0745391248186943,0.127603023707209,0.17566716923627,"initialEfficacy","BSV",0.793103448275862
0.075091229327587,0.128374575839823,0.177465440302688,"initialEfficacy","BSV",0.810344827586207
0.0769432913310696,0.131027766693759,0.179039600801566,"initialEfficacy","BSV",0.827586206896552
