"Setting","Factor","First","Effect","Coverage_reduced","Seasonality","Vaccine_Type","SPAQ","half_life_short","deployment"
"Spread_sesonality2_Coverage_reduced_0","half_life",0.0428070773044984,"First","0","sesonality2","AIV","0",0,"Seasonal"
"Spread_sesonality2_Coverage_reduced_0","Coverage",0.0645980926242754,"Total","0","sesonality2","AIV","0",0,"Seasonal"
"Spread_sesonality2_Coverage_reduced_0","initialEfficacy",0.145250915316147,"Total","0","sesonality2","AIV","0",0,"Seasonal"
"Spread_sesonality2_Coverage_reduced_0","Degree_resistance",0.66454513316639,"Total","0","sesonality2","AIV","0",0,"Seasonal"
"Spread_sesonality2_Coverage_reduced_0","Access",0.0304140926561226,"Total","0","sesonality2","AIV","0",0,"Seasonal"
"Spread_sesonality2_Coverage_reduced_0","eir",0.119249200728526,"Total","0","sesonality2","AIV","0",0,"Seasonal"
"Spread_sesonality2_Coverage_reduced_0","half_life",0.0542179589168484,"Total","0","sesonality2","AIV","0",0,"Seasonal"
"Spread_sesonality1_Coverage_reduced_0","Coverage",0.049508212007065,"First","0","sesonality1","BSV","0",0,"Perennial"
"Spread_sesonality1_Coverage_reduced_0","initialEfficacy",0.0483268211429854,"First","0","sesonality1","BSV","0",0,"Perennial"
"Spread_sesonality1_Coverage_reduced_0","Degree_resistance",0.648832145871066,"First","0","sesonality1","BSV","0",0,"Perennial"
"Spread_sesonality1_Coverage_reduced_0","Access",0.0673158012180413,"First","0","sesonality1","BSV","0",0,"Perennial"
"Spread_sesonality1_Coverage_reduced_0","eir",0.110849648145691,"First","0","sesonality1","BSV","0",0,"Perennial"
"Spread_sesonality1_Coverage_reduced_0","half_life",0.0751673716151512,"First","0","sesonality1","BSV","0",0,"Perennial"
"Spread_sesonality1_Coverage_reduced_0","Coverage",0.0555533425936603,"Total","0","sesonality1","BSV","0",0,"Perennial"
"Spread_sesonality1_Coverage_reduced_0","initialEfficacy",0.0491543855044824,"Total","0","sesonality1","BSV","0",0,"Perennial"
"Spread_sesonality1_Coverage_reduced_0","Degree_resistance",0.657236725068865,"Total","0","sesonality1","BSV","0",0,"Perennial"
"Spread_sesonality1_Coverage_reduced_0","Access",0.0754104182819909,"Total","0","sesonality1","BSV","0",0,"Perennial"
"Spread_sesonality1_Coverage_reduced_0","eir",0.120346737949821,"Total","0","sesonality1","BSV","0",0,"Perennial"
"Spread_sesonality1_Coverage_reduced_0","half_life",0.0793208946999146,"Total","0","sesonality1","BSV","0",0,"Perennial"
"Spread_sesonality1_Coverage_reduced_0.2","Coverage",0.0544119324610381,"First","0.2","sesonality1","BSV","0",0,"Perennial"
"Spread_sesonality1_Coverage_reduced_0.2","initialEfficacy",0.0521582115746601,"First","0.2","sesonality1","BSV","0",0,"Perennial"
"Spread_sesonality1_Coverage_reduced_0.2","Degree_resistance",0.622099408889706,"First","0.2","sesonality1","BSV","0",0,"Perennial"
"Spread_sesonality1_Coverage_reduced_0.2","Access",0.0740447556627449,"First","0.2","sesonality1","BSV","0",0,"Perennial"
"Spread_sesonality1_Coverage_reduced_0.2","eir",0.105753876025992,"First","0.2","sesonality1","BSV","0",0,"Perennial"
"Spread_sesonality1_Coverage_reduced_0.2","half_life",0.0915318153858593,"First","0.2","sesonality1","BSV","0",0,"Perennial"
"Spread_sesonality1_Coverage_reduced_0.2","Coverage",0.053219663057886,"Total","0.2","sesonality1","BSV","0",0,"Perennial"
"Spread_sesonality1_Coverage_reduced_0.2","initialEfficacy",0.0486330303169092,"Total","0.2","sesonality1","BSV","0",0,"Perennial"
"Spread_sesonality1_Coverage_reduced_0.2","Degree_resistance",0.648068181100435,"Total","0.2","sesonality1","BSV","0",0,"Perennial"
"Spread_sesonality1_Coverage_reduced_0.2","Access",0.0767152032164662,"Total","0.2","sesonality1","BSV","0",0,"Perennial"
"Spread_sesonality1_Coverage_reduced_0.2","eir",0.115289238724321,"Total","0.2","sesonality1","BSV","0",0,"Perennial"
"Spread_sesonality1_Coverage_reduced_0.2","half_life",0.090086801993201,"Total","0.2","sesonality1","BSV","0",0,"Perennial"
"Spread_sesonality1_Coverage_reduced_0","Coverage",0.0433456099755472,"First","0","sesonality1","AIV","0",0,"Perennial"
"Spread_sesonality1_Coverage_reduced_0","initialEfficacy",0.115510699170136,"First","0","sesonality1","AIV","0",0,"Perennial"
"Spread_sesonality1_Coverage_reduced_0","Degree_resistance",0.635524490437162,"First","0","sesonality1","AIV","0",0,"Perennial"
"Spread_sesonality1_Coverage_reduced_0","Access",0.0253971294958315,"First","0","sesonality1","AIV","0",0,"Perennial"
"Spread_sesonality1_Coverage_reduced_0","eir",0.0519188271498669,"First","0","sesonality1","AIV","0",0,"Perennial"
"Spread_sesonality1_Coverage_reduced_0","half_life",0.128303243771456,"First","0","sesonality1","AIV","0",0,"Perennial"
"Spread_sesonality1_Coverage_reduced_0","Coverage",0.0513393663764161,"Total","0","sesonality1","AIV","0",0,"Perennial"
"Spread_sesonality1_Coverage_reduced_0","initialEfficacy",0.13011468900792,"Total","0","sesonality1","AIV","0",0,"Perennial"
"Spread_sesonality1_Coverage_reduced_0","Degree_resistance",0.646637123986031,"Total","0","sesonality1","AIV","0",0,"Perennial"
"Spread_sesonality1_Coverage_reduced_0","Access",0.0279056989414309,"Total","0","sesonality1","AIV","0",0,"Perennial"
"Spread_sesonality1_Coverage_reduced_0","eir",0.057580523530644,"Total","0","sesonality1","AIV","0",0,"Perennial"
"Spread_sesonality1_Coverage_reduced_0","half_life",0.13914449719367,"Total","0","sesonality1","AIV","0",0,"Perennial"
"Spread_sesonality1_Coverage_reduced_0.2","Coverage",0.0401596807293877,"First","0.2","sesonality1","AIV","0",0,"Perennial"
"Spread_sesonality1_Coverage_reduced_0.2","initialEfficacy",0.115470551030462,"First","0.2","sesonality1","AIV","0",0,"Perennial"
"Spread_sesonality1_Coverage_reduced_0.2","Degree_resistance",0.639491810660531,"First","0.2","sesonality1","AIV","0",0,"Perennial"
"Spread_sesonality1_Coverage_reduced_0.2","Access",0.0222310970017681,"First","0.2","sesonality1","AIV","0",0,"Perennial"
"Spread_sesonality1_Coverage_reduced_0.2","eir",0.0450642113674867,"First","0.2","sesonality1","AIV","0",0,"Perennial"
"Spread_sesonality1_Coverage_reduced_0.2","half_life",0.137582649210364,"First","0.2","sesonality1","AIV","0",0,"Perennial"
"Spread_sesonality1_Coverage_reduced_0.2","Coverage",0.0504018463312404,"Total","0.2","sesonality1","AIV","0",0,"Perennial"
"Spread_sesonality1_Coverage_reduced_0.2","initialEfficacy",0.128797020563813,"Total","0.2","sesonality1","AIV","0",0,"Perennial"
"Spread_sesonality1_Coverage_reduced_0.2","Degree_resistance",0.646977398005575,"Total","0.2","sesonality1","AIV","0",0,"Perennial"
"Spread_sesonality1_Coverage_reduced_0.2","Access",0.0281017593847338,"Total","0.2","sesonality1","AIV","0",0,"Perennial"
"Spread_sesonality1_Coverage_reduced_0.2","eir",0.0554731743939269,"Total","0.2","sesonality1","AIV","0",0,"Perennial"
"Spread_sesonality1_Coverage_reduced_0.2","half_life",0.152085946240355,"Total","0.2","sesonality1","AIV","0",0,"Perennial"
"Spread_sesonality2_Coverage_reduced_0","Coverage",0.0514826150391104,"First","0","sesonality2","AIV","1",0,"Seasonal + drugs"
"Spread_sesonality2_Coverage_reduced_0","initialEfficacy",0.129977574269141,"First","0","sesonality2","AIV","1",0,"Seasonal + drugs"
"Spread_sesonality2_Coverage_reduced_0","Degree_resistance",0.665043018819064,"First","0","sesonality2","AIV","1",0,"Seasonal + drugs"
"Spread_sesonality2_Coverage_reduced_0","Access",0.0197136589023282,"First","0","sesonality2","AIV","1",0,"Seasonal + drugs"
"Spread_sesonality2_Coverage_reduced_0","eir",0.0950982039034743,"First","0","sesonality2","AIV","1",0,"Seasonal + drugs"
"Spread_sesonality2_Coverage_reduced_0","half_life",0.0386849290668827,"First","0","sesonality2","AIV","1",0,"Seasonal + drugs"
"Spread_sesonality2_Coverage_reduced_0","Coverage",0.0664668504890019,"Total","0","sesonality2","AIV","1",0,"Seasonal + drugs"
"Spread_sesonality2_Coverage_reduced_0","initialEfficacy",0.148295403221608,"Total","0","sesonality2","AIV","1",0,"Seasonal + drugs"
"Spread_sesonality2_Coverage_reduced_0","Degree_resistance",0.668532706741863,"Total","0","sesonality2","AIV","1",0,"Seasonal + drugs"
"Spread_sesonality2_Coverage_reduced_0","Access",0.0283779077464628,"Total","0","sesonality2","AIV","1",0,"Seasonal + drugs"
"Spread_sesonality2_Coverage_reduced_0","eir",0.119753837548841,"Total","0","sesonality2","AIV","1",0,"Seasonal + drugs"
"Spread_sesonality2_Coverage_reduced_0","half_life",0.0486288921290392,"Total","0","sesonality2","AIV","1",0,"Seasonal + drugs"
"Spread_sesonality2_Coverage_reduced_0","Coverage",0.0469615160294463,"First","0","sesonality2","BSV","1",0,"Seasonal + drugs"
"Spread_sesonality2_Coverage_reduced_0","initialEfficacy",0.059463176288154,"First","0","sesonality2","BSV","1",0,"Seasonal + drugs"
"Spread_sesonality2_Coverage_reduced_0","Degree_resistance",0.616299098073565,"First","0","sesonality2","BSV","1",0,"Seasonal + drugs"
