"L","M","U","G","Vaccine_type","Range"
0.0447773037330732,0.0852514466351973,0.124328070620944,"Coverage","BSV",60
0.0472665493058551,0.089505052296921,0.129469294290265,"Coverage","BSV",61.3793103448276
0.0481184354655973,0.0901872732722324,0.130875949440908,"Coverage","BSV",62.7586206896552
0.0484433407911537,0.0912367040399618,0.132126443577694,"Coverage","BSV",64.1379310344828
0.0497407076736065,0.093260118618337,0.136102519534814,"Coverage","BSV",65.5172413793103
0.0518185789034707,0.0964602634430331,0.139095334743762,"Coverage","BSV",66.8965517241379
0.053064112417751,0.0979389247943924,0.141329091972398,"Coverage","BSV",68.2758620689655
0.0525411888720807,0.0972689626369308,0.14214397157164,"Coverage","BSV",69.6551724137931
0.0546887790089775,0.100147869555937,0.145733931150611,"Coverage","BSV",71.0344827586207
0.0537246498223886,0.100918244308046,0.145831804148555,"Coverage","BSV",72.4137931034483
0.0558597354318144,0.1038368907114,0.150840890704932,"Coverage","BSV",73.7931034482759
0.0575407991346882,0.106472231251146,0.152286199993104,"Coverage","BSV",75.1724137931034
0.0570685059251478,0.106017102504257,0.155571825888183,"Coverage","BSV",76.551724137931
0.0571127419933167,0.105229894286814,0.154276797617744,"Coverage","BSV",77.9310344827586
0.0598816330168746,0.110113627515888,0.158503628608264,"Coverage","BSV",79.3103448275862
0.0586276526565022,0.110723713607638,0.161229080520338,"Coverage","BSV",80.6896551724138
0.0614739804490307,0.112909589162315,0.163304807989303,"Coverage","BSV",82.0689655172414
0.0612280006306754,0.114196019723189,0.165522390283024,"Coverage","BSV",83.448275862069
0.0636897400241121,0.11547472283073,0.167461059494063,"Coverage","BSV",84.8275862068966
0.0644996045293826,0.117909127241614,0.170422876732771,"Coverage","BSV",86.2068965517241
0.0627953571971229,0.119681741500887,0.172669390728634,"Coverage","BSV",87.5862068965517
0.066875008416561,0.120689188764817,0.175519751931281,"Coverage","BSV",88.9655172413793
0.0662199952321782,0.121674026278338,0.175941683094468,"Coverage","BSV",90.3448275862069
0.0682265261299697,0.124790174618624,0.179762493584206,"Coverage","BSV",91.7241379310345
0.0683590661193481,0.124844748070517,0.180259650749465,"Coverage","BSV",93.1034482758621
0.0696368791893252,0.125167257695789,0.18108923733172,"Coverage","BSV",94.4827586206897
0.0696410634639223,0.127181290706225,0.184048214395451,"Coverage","BSV",95.8620689655172
0.0751301936045304,0.13232613997162,0.187098235769702,"Coverage","BSV",97.2413793103448
0.072658862089203,0.130116636282528,0.187608210850427,"Coverage","BSV",98.6206896551724
NA,NA,NA,"Coverage","BSV",100
0.0403000973704313,0.0791846776983471,0.119930177300756,"initialEfficacy","BSV",0.5
0.0420435612180933,0.0827336953384527,0.124446867227827,"initialEfficacy","BSV",0.517241379310345
0.0438080832780899,0.0854331554692724,0.128098406047988,"initialEfficacy","BSV",0.53448275862069
0.0443429493912663,0.0846946063897067,0.127274888814062,"initialEfficacy","BSV",0.551724137931034
0.046596215129621,0.0884879266116431,0.133146000041354,"initialEfficacy","BSV",0.568965517241379
0.0476688395515561,0.090160174725347,0.134992571501749,"initialEfficacy","BSV",0.586206896551724
0.0492853717021443,0.0927958756426938,0.137211943420044,"initialEfficacy","BSV",0.603448275862069
0.0510769161218947,0.0965063974610716,0.141978140412992,"initialEfficacy","BSV",0.620689655172414
0.0525927315672738,0.098097289801822,0.143460326125351,"initialEfficacy","BSV",0.637931034482759
0.0524284769128741,0.0991248750772,0.145151066898074,"initialEfficacy","BSV",0.655172413793103
0.0552421614123366,0.102206839260571,0.148441088408461,"initialEfficacy","BSV",0.672413793103448
0.0563164217731013,0.103884119118196,0.151637406700161,"initialEfficacy","BSV",0.689655172413793
0.0583713106864563,0.107624664187971,0.153377039635918,"initialEfficacy","BSV",0.706896551724138
0.0590681053162044,0.108659151792679,0.156450965056966,"initialEfficacy","BSV",0.724137931034483
0.0605536640088644,0.111882258791972,0.159085831918372,"initialEfficacy","BSV",0.741379310344828
0.0627202776219766,0.113219945198576,0.160499427056597,"initialEfficacy","BSV",0.758620689655172
0.0644906193388175,0.116357330368304,0.164889886741177,"initialEfficacy","BSV",0.775862068965517
0.0650071490924954,0.116304583858422,0.165133862890783,"initialEfficacy","BSV",0.793103448275862
0.0654289401601663,0.118348151536208,0.167249655390997,"initialEfficacy","BSV",0.810344827586207
0.0680038524272564,0.121291424236103,0.169444808803131,"initialEfficacy","BSV",0.827586206896552
0.0688903128018717,0.123553697014732,0.172550594237654,"initialEfficacy","BSV",0.844827586206897
0.0682836911668684,0.123350940334419,0.172764148511661,"initialEfficacy","BSV",0.862068965517241
0.0718161910160016,0.127700768247099,0.176118562483087,"initialEfficacy","BSV",0.879310344827586
0.0732209538876766,0.127864542008781,0.176998233785833,"initialEfficacy","BSV",0.896551724137931
0.0732750464085522,0.127876344632343,0.178495977110309,"initialEfficacy","BSV",0.913793103448276
0.0755604076546614,0.131442358189755,0.179322240364292,"initialEfficacy","BSV",0.931034482758621
0.0748141952577404,0.12957333037078,0.180295976469282,"initialEfficacy","BSV",0.948275862068966
