"Degree_resistance","half_life_TBV","Efficacy_TBV","Indicator_10","Prevalance_a"
0.75,5,0.75,0,3.44095378799063e-05
1,5,0.75,0,5.82742173772606e-06
0,0,0,0,0.00146934276672664
0.25,0,0,0.229649507322817,0.0950078628203519
0.5,0,0,0.366997830482181,0.138385013737607
0.75,0,0,0.602939956427102,0.177659673654892
1,0,0,NA,0.208264447578991
0,1,0.85,0,9.15737701642667e-06
0.25,1,0.85,0,2.77496273225051e-07
0.5,1,0.85,0,0
0.75,1,0.85,0.316629925362586,0.118288340406011
1,1,0.85,NA,0.151441614852822
0,2.5,0.85,0,6.10491801095111e-06
0.25,2.5,0.85,0,2.77496273225051e-07
0.5,2.5,0.85,0,2.77496273225051e-07
0.75,2.5,0.85,0,0.000761172277456314
1,2.5,0.85,0,2.77496273225051e-07
0,5,0.85,0,0
0.25,5,0.85,0,0
0.5,5,0.85,0,6.93740683062626e-06
0.75,5,0.85,0,5.54992546450101e-07
1,5,0.85,0,2.2199701858004e-06
0,0,0,0,0.00146934276672664
0.25,0,0,0.229649507322817,0.0950078628203519
0.5,0,0,0.366997830482181,0.138385013737607
0.75,0,0,0.602939956427102,0.177659673654892
1,0,0,NA,0.208264447578991
0,1,0.95,0,0
0.25,1,0.95,0,3.32995527870061e-06
0.5,1,0.95,0,8.32488819675152e-07
0.75,1,0.95,0,0.000203959760820412
1,1,0.95,0.544990228068978,0.139383730433474
0,2.5,0.95,0,0
0.25,2.5,0.95,0,9.15737701642667e-06
0.5,2.5,0.95,0,0
0.75,2.5,0.95,0,5.54992546450101e-07
1,2.5,0.95,0,6.38241428417616e-06
0,5,0.95,0,1.94247391257535e-06
0.25,5,0.95,0,0
0.5,5,0.95,0,0
0.75,5,0.95,0,2.77496273225051e-07
1,5,0.95,0,2.2199701858004e-06
