"Survey","nEPIVaccinations_1","nEPIVaccinations_2","nEPIVaccinations_3","nEPIVaccinations_4","nEPIVaccinations_5","nEPIVaccinations_6","nEPIVaccinations_7","nEPIVaccinations_8","nMassVaccinations_1","nMassVaccinations_2","nMassVaccinations_3","nMassVaccinations_4","nMassVaccinations_5","nMassVaccinations_6","nMassVaccinations_7","nMassVaccinations_8","Incidence"
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9066418950302
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.1939559078524
74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.2650483031954
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.906118404756
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8223928659896
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9376064406255
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.1325282551479
79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.906118404756
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.7909403350156
81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.8127070625755
82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.1320287342086
83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9675202031148
84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.906118404756
85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6893732970027
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.1847906861531
87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6370955256232
88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.7518191670537
89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5041028022914
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4112091655055
91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6680600712185
92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.9777055271714
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.3487738419619
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.039634618362
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.3183155287196
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4112091655055
97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.729989162409
98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8538473447902
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.8010527945502
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.2340847163735
101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.1015637095526
102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4421737111008
103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.2035918872891
104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.1015637095526
105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.7518191670537
106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.256386437529
107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5442018888373
108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.729989162409
109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.7609537080043
110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3584146152655
111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.9249109769314
112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.9249109769314
113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.1629923210305
114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.2868466683181
115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6056477582363
116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3086450334407
117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6675749318801
118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.1325282551479
119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.729989162409
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8228827991949
121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5442018888373
122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4112091655055
123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6680600712185
124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.388902650483
125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3705722070845
126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5746841714144
127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4731382566961
128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.7609537080043
129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.1944573463384
130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4731382566961
131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5041028022914
132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.2655209784796
133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.4015357939064
134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6274461233589
135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.2244171285259
136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3884261696133
137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5030807814967
138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6269312939282
139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.7507818063597
140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.276611554895
141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.9544863459038
142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.3162946221245
143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.800594500867
144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.596482536537
145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6578939220361
146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.3492800743149
147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8538473447902
148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2782164421737
149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.698538518702
150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5437205845925
151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5838493931137
152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.2031211295516
153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.3797374287837
154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3396086202626
155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3396086202626
156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.1629923210305
157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5655189497151
158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.4193887977212
159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.2955382852897
160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4416646024275
161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9370819915779
162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.7295021055239
163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.4198662373049
164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.3492800743149
165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6680600712185
166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.9898439435224
167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.1629923210305
168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.2340847163735
169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6366113450582
170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.4508298241268
171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6578939220361
172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.9235246764506
173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3700343685172
174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.7290150787999
175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5035917760713
176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.9777055271714
177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4112091655055
178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2162873509831
179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.7518191670537
180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.7609537080043
181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.2645756571818
182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.9772108000991
183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.7822640574684
184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8538473447902
185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5041028022914
186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4107010156056
187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6269312939282
188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.7604656923458
189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.596482536537
190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.9152836264553
191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.2873509831243
192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.8975073540796
193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.9152836264553
194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.3492800743149
195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4421737111008
196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5655189497151
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2467178597969
198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4726281892494
199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9066418950302
200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.6807555349125
201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4421737111008
202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.7518191670537
203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.7919182535996
204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6898900758631
205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5350673478867
206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.9777055271714
207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.008174386921
208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.3487738419619
209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.008174386921
210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.7817444344676
211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.1005666160944
212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.2244171285259
213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9990091652217
214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0918999256874
