"Survey","nHost_1","nHost_2","nHost_3","nHost_4","nHost_5","nHost_6","nHost_7","nHost_8","nInfect_1","nInfect_2","nInfect_3","nInfect_4","nInfect_5","nInfect_6","nInfect_7","nInfect_8","nExpectd_1","nExpectd_2","nExpectd_3","nExpectd_4","nExpectd_5","nExpectd_6","nExpectd_7","nExpectd_8","nPatent_1","nPatent_2","nPatent_3","nPatent_4","nPatent_5","nPatent_6","nPatent_7","nPatent_8","nTransmit","nTreatments1_1","nTreatments1_2","nTreatments1_3","nTreatments1_4","nTreatments1_5","nTreatments1_6","nTreatments1_7","nTreatments1_8","nUncomp_1","nUncomp_2","nUncomp_3","nUncomp_4","nUncomp_5","nUncomp_6","nUncomp_7","nUncomp_8","nEPIVaccinations_1","nEPIVaccinations_2","nEPIVaccinations_3","nEPIVaccinations_4","nEPIVaccinations_5","nEPIVaccinations_6","nEPIVaccinations_7","nEPIVaccinations_8","nMassVaccinations_1","nMassVaccinations_2","nMassVaccinations_3","nMassVaccinations_4","nMassVaccinations_5","nMassVaccinations_6","nMassVaccinations_7","nMassVaccinations_8","innoculationsPerAgeGroup_S1","innoculationsPerAgeGroup_R1","innoculationsPerAgeGroup_S2","innoculationsPerAgeGroup_R2","innoculationsPerAgeGroup_S3","innoculationsPerAgeGroup_R3","innoculationsPerAgeGroup_S4","innoculationsPerAgeGroup_R4","innoculationsPerAgeGroup_S5","innoculationsPerAgeGroup_R5","innoculationsPerAgeGroup_S6","innoculationsPerAgeGroup_R6","innoculationsPerAgeGroup_S7","innoculationsPerAgeGroup_R7","innoculationsPerAgeGroup_S8","innoculationsPerAgeGroup_R8","Vector_Nv","inputEIR","simulatedEIR","nMDAs_1","nMDAs_2","nMDAs_3","nMDAs_4","nMDAs_5","nMDAs_6","nMDAs_7","nMDAs_8","nTreatDiagnostics_1","nTreatDiagnostics_2","nTreatDiagnostics_3","nTreatDiagnostics_4","nTreatDiagnostics_5","nTreatDiagnostics_6","nTreatDiagnostics_7","nTreatDiagnostics_8","nInfectByGenotype_S1","nInfectByGenotype_R1","nInfectByGenotype_S2","nInfectByGenotype_R2","nInfectByGenotype_S3","nInfectByGenotype_R3","nInfectByGenotype_S4","nInfectByGenotype_R4","nInfectByGenotype_S5","nInfectByGenotype_R5","nInfectByGenotype_S6","nInfectByGenotype_R6","nInfectByGenotype_S7","nInfectByGenotype_R7","nInfectByGenotype_S8","nInfectByGenotype_R8","nPatentByGenotype_S1","nPatentByGenotype_R1","nPatentByGenotype_S2","nPatentByGenotype_R2","nPatentByGenotype_S3","nPatentByGenotype_R3","nPatentByGenotype_S4","nPatentByGenotype_R4","nPatentByGenotype_S5","nPatentByGenotype_R5","nPatentByGenotype_S6","nPatentByGenotype_R6","nPatentByGenotype_S7","nPatentByGenotype_R7","nPatentByGenotype_S8","nPatentByGenotype_R8","nHostDrugConcNonZero_A1","nHostDrugConcNonZero_B1","nHostDrugConcNonZero_A2","nHostDrugConcNonZero_B2","nHostDrugConcNonZero_A3","nHostDrugConcNonZero_B3","nHostDrugConcNonZero_A4","nHostDrugConcNonZero_B4","nHostDrugConcNonZero_A5","nHostDrugConcNonZero_B5","nHostDrugConcNonZero_A6","nHostDrugConcNonZero_B6","nHostDrugConcNonZero_A7","nHostDrugConcNonZero_B7","nHostDrugConcNonZero_A8","nHostDrugConcNonZero_B8","sumLogDrugConcNonZero_A1","sumLogDrugConcNonZero_B1","sumLogDrugConcNonZero_A2","sumLogDrugConcNonZero_B2","sumLogDrugConcNonZero_A3","sumLogDrugConcNonZero_B3","sumLogDrugConcNonZero_A4","sumLogDrugConcNonZero_B4","sumLogDrugConcNonZero_A5","sumLogDrugConcNonZero_B5","sumLogDrugConcNonZero_A6","sumLogDrugConcNonZero_B6","sumLogDrugConcNonZero_A7","sumLogDrugConcNonZero_B7","sumLogDrugConcNonZero_A8","sumLogDrugConcNonZero_B8","Incidence"
618,4785,49,1625,3228,3150,3077,2270,81816,212,7,356,653,599,585,471,29982,315.49,18.5369,1055.69,2669.3,3029.42,3055.99,2267.08,81815.3,58,6,135,153,108,129,91,4090,0.0031182,0,0,1,6,1,4,1,50,7,0,3,9,11,16,7,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.7092,23.2179,0.238307,0.254869,8.40392,8.98795,19.3987,20.7468,21.8832,23.4039,23.4869,25.1192,18.6823,19.9806,1407.46,1505.27,16319600,0.0199158,0.0417272,0,0,0,0,0,0,0,0,0,0,1,6,1,4,1,50,120,99,5,2,197,203,379,342,300,331,304,308,251,249,16750,16987,27,19,2,0,30,47,52,61,40,54,49,49,38,38,1508,1566,2,8,0,0,6,13,7,20,4,17,4,15,8,18,81,300,-44.2601,-20.2541,0,0,-130.598,-32.0865,-161.778,-57.6795,-87.5788,-66.3727,-87.3249,-47.9888,-194.525,-37.3426,-1675.49,-847.726,2.91465024197096
619,4785,49,1625,3229,3149,3078,2269,81816,240,9,365,689,617,620,485,31069,338.411,17.3911,1046.72,2668.49,3028.04,3056.9,2266.06,81815.3,71,3,133,164,128,139,101,4723,0.00356451,3,0,0,6,5,4,1,57,3,0,3,15,18,20,11,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.1736,28.6967,0.298291,0.315011,10.5193,11.109,24.2814,25.6424,27.3827,28.9175,29.418,31.0669,23.3747,24.6849,1761.72,1860.47,17586500,0.0248733,0.0518909,0,0,0,0,0,0,0,0,3,0,0,6,5,4,1,57,127,121,6,4,202,210,395,362,314,341,331,324,261,252,17462,17639,27,27,3,1,43,46,50,66,42,58,57,58,36,40,1771,1801,1,5,0,1,4,14,9,23,3,14,6,18,4,17,96,331,-31.9879,-18.3856,0,-1.60602,-106.385,-41.7354,-166.604,-44.2187,-75.5781,-50.7147,-111.089,-44.2538,-107.239,-38.8977,-2074.41,-906.477,3.84953805543335
620,4785,49,1626,3229,3148,3078,2269,81816,274,3,388,717,647,658,509,32402,371.123,16.3989,1039.01,2668.73,3027.1,3056.9,2266.06,81815.3,70,1,148,180,148,163,121,5434,0.0041662,4,0,5,7,4,10,0,67,16,0,11,22,17,25,12,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.6638,35.5374,0.369458,0.390021,13.0291,13.7543,30.0755,31.7493,33.9168,35.8044,36.425,38.4523,28.9513,30.5626,2182.04,2303.49,18464100,0.0312883,0.0642588,0,0,0,0,0,0,0,0,4,0,5,7,4,10,0,68,145,139,2,1,216,219,416,374,327,359,356,340,276,264,18330,18531,33,30,1,0,46,47,62,66,56,82,64,61,44,53,2047,2116,3,7,0,0,1,13,12,26,6,18,8,22,2,18,107,371,-36.6455,-13.0329,0,0,-31.6014,-38.4957,-261.432,-44.6982,-91.476,-45.6538,-174.561,-50.0154,-43.6822,-51.7978,-2286.22,-1006.89,5.66432028156621
621,4785,49,1626,3229,3148,3078,2269,81816,324,6,398,767,693,714,527,33966,414.871,15.6052,1031.34,2670.94,3027.6,3057,2266.07,81815.3,92,2,150,199,192,172,141,6424,0.00485431,3,0,2,7,5,5,9,87,14,0,11,21,28,18,20,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.5237,44.0152,0.455816,0.483166,16.0849,17.05,37.094,39.3197,41.8445,44.3552,44.9394,47.6358,35.7026,37.8447,2691.99,2853.51,18880000,0.0395364,0.0794464,0,0,0,0,0,0,0,0,3,0,2,7,5,5,10,87,160,175,6,1,220,224,448,400,351,387,384,374,276,284,19368,19586,44,34,1,0,49,52,71,75,65,88,72,73,56,66,2454,2531,6,9,0,0,4,16,14,34,9,20,13,30,2,17,124,414,-132.086,-8.31746,0,0,-47.8837,-38.1395,-284.433,-59.856,-206.021,-40.9199,-235.034,-53.8585,-43.5823,-54.1148,-2632.68,-1067.89,6.15926088869336
622,4785,49,1625,3230,3147,3078,2270,81816,392,1,408,826,754,773,562,35875,470.652,15.0487,1024.48,2676.27,3027.68,3057.19,2267.1,81815.3,104,0,153,224,221,194,160,7554,0.00583255,3,0,5,6,7,3,2,109,12,0,14,23,26,24,28,588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.2776,54.1825,0.563123,0.595024,19.8715,20.9972,45.8401,48.4369,51.6779,54.6054,55.5364,58.6825,44.1267,46.6264,3325.84,3514.24,18802900,0.0500403,0.0979897,0,0,0,0,0,0,0,0,3,0,5,6,7,3,2,109,189,218,0,1,234,227,485,428,388,420,409,419,306,296,20652,20840,47,43,0,0,60,53,104,82,88,99,83,87,69,72,2898,3043,6,12,0,0,4,16,16,39,9,25,14,35,8,23,156,485,-131.021,-13.4412,0,0,-127.084,-50.9395,-348.299,-56.8855,-186.611,-54.1445,-345.666,-74.53,-115.021,-55.0451,-3221.58,-1211.7,6.98416190057193
623,4785,49,1625,3229,3149,3076,2271,81816,456,7,416,869,819,825,606,38021,539.08,14.7579,1020.08,2682.53,3031.3,3055.52,2268.14,81815.4,124,2,165,253,242,237,197,9060,0.00703467,3,0,4,10,10,7,6,128,21,0,15,32,30,28,19,708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.7269,66.3561,0.688568,0.728407,24.2827,25.6876,56.0684,59.3124,63.1895,66.8455,67.8859,71.8135,53.98,57.1032,4066.69,4301.98,18247100,0.0632414,0.119889,0,0,0,0,0,0,0,0,3,0,4,10,10,7,6,129,217,256,4,3,237,232,510,454,423,462,438,456,326,334,22094,22321,55,53,1,1,60,61,125,91,102,108,108,105,94,79,3531,3631,5,14,1,1,5,18,13,45,13,31,8,34,9,25,197,576,-99.1673,-21.1223,-31.451,0.101469,-59.1203,-39.3235,-312.968,-88.7686,-254.311,-52.5968,-193.918,-70.954,-245.662,-68.7165,-4130.09,-1416.1,7.97404311482622
624,4785,49,1625,3229,3149,3076,2271,81816,518,8,445,939,883,906,655,40315,619.975,14.7477,1018.09,2692.34,3033.62,3055.95,2268.2,81815.4,147,2,194,303,280,276,228,10604,0.00845864,10,0,4,15,8,11,6,151,23,1,24,45,41,38,31,785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.7856,80.3364,0.831924,0.88188,29.3378,31.0995,67.7431,71.8109,76.3457,80.9301,81.9652,86.887,65.2176,69.1338,4913.35,5208.39,17268900,0.0795481,0.145003,0,0,0,0,0,0,0,0,10,0,4,15,8,11,6,151,242,294,4,5,255,244,556,490,470,492,488,502,351,370,23705,23911,65,64,2,3,75,67,149,119,112,135,126,120,101,93,4231,4364,5,16,0,0,9,22,15,52,18,42,10,39,8,31,237,673,-119.477,-31.657,0,0,-206.741,-44.7643,-276.829,-97.7765,-373.042,-74.468,-178.336,-84.508,-134.852,-77.4413,-5031.66,-1565.07,11.1636603607567
625,4786,49,1624,3230,3148,3076,2271,81816,589,10,474,1002,973,975,722,42708,713.231,15.0203,1018.2,2705.74,3035.61,3056.49,2268.28,81815.4,165,5,203,347,360,340,239,12418,0.010247,4,0,8,15,15,14,9,160,27,1,21,46,47,46,33,1040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.092,95.6985,1.00036,1.05095,35.2578,37.0408,81.4594,85.5788,91.8036,96.4461,98.5914,103.577,78.456,82.4234,5908.18,6206.95,15956300,0.0992571,0.173559,0,0,0,0,0,0,0,0,4,0,8,15,15,14,9,160,287,327,5,5,268,266,590,517,520,548,537,528,393,407,25495,25647,79,74,2,2,74,84,165,129,148,170,156,149,118,102,5015,5143,11,25,0,0,8,25,25,66,17,48,18,49,12,35,280,797,-172.715,-40.1602,0,0,-176.039,-52.6878,-495.506,-133.105,-381.695,-83.129,-373.218,-101.005,-261.632,-81.9709,-5933.64,-1811.2,12.153541575011
626,4785,49,1625,3229,3148,3077,2271,81816,695,10,499,1080,1052,1062,815,45220,816.522,15.56,1021.79,2719.71,3039.07,3058.12,2268.38,81815.4,199,5,220,396,402,370,280,14341,0.0123912,12,0,10,13,20,14,10,188,26,0,26,50,57,62,41,1197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.982,112.157,1.18534,1.23116,41.7504,43.3645,96.5227,100.254,108.778,112.983,116.82,121.337,92.9639,96.5579,7000.67,7271.32,14415100,0.122448,0.204458,0,0,0,0,0,0,0,0,12,0,10,13,20,14,10,189,341,387,5,6,286,282,635,568,577,595,581,592,443,468,27324,27553,93,97,2,3,98,84,173,156,171,187,172,180,123,130,5925,5996,13,28,0,0,12,33,30,79,23,62,23,61,16,44,312,931,-335.957,-52.1116,0,0,-221.691,-66.5401,-654.285,-158.473,-433.506,-103.614,-452.303,-122.539,-329.585,-96.817,-6794.68,-2163.56,14.4082710074791
627,4785,49,1625,3229,3148,3077,2271,81816,789,14,541,1164,1156,1151,883,47702,928.329,16.3364,1027.89,2736.6,3043.05,3058.85,2268.48,81815.4,232,6,232,428,451,457,328,16569,0.0148576,14,1,6,25,16,15,9,257,41,3,19,58,51,73,38,1420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.846,129.619,1.37046,1.42286,48.3286,50.1761,111.523,115.787,125.764,130.572,135.154,140.321,107.438,111.545,8093.74,8403.15,12753700,0.148864,0.23634,0,0,0,0,0,0,0,0,14,1,6,25,16,15,9,258,405,430,10,5,308,307,702,606,656,643,642,648,486,514,29283,29526,95,116,4,2,103,97,210,175,215,211,213,200,140,146,6933,6978,16,39,0,0,17,41,29,92,33,80,30,75,19,52,348,1079,-272.694,-59.9027,0,0,-358.293,-81.4905,-640.933,-198.99,-671.488,-141.611,-655.356,-153.143,-405.252,-109.295,-7389.32,-2486.6,15.5631324241091
