"Survey","nHost_1","nHost_2","nHost_3","nHost_4","nHost_5","nHost_6","nHost_7","nHost_8","nInfect_1","nInfect_2","nInfect_3","nInfect_4","nInfect_5","nInfect_6","nInfect_7","nInfect_8","nExpectd_1","nExpectd_2","nExpectd_3","nExpectd_4","nExpectd_5","nExpectd_6","nExpectd_7","nExpectd_8","nPatent_1","nPatent_2","nPatent_3","nPatent_4","nPatent_5","nPatent_6","nPatent_7","nPatent_8","nTransmit","nTreatments1_1","nTreatments1_2","nTreatments1_3","nTreatments1_4","nTreatments1_5","nTreatments1_6","nTreatments1_7","nTreatments1_8","nUncomp_1","nUncomp_2","nUncomp_3","nUncomp_4","nUncomp_5","nUncomp_6","nUncomp_7","nUncomp_8","nEPIVaccinations_1","nEPIVaccinations_2","nEPIVaccinations_3","nEPIVaccinations_4","nEPIVaccinations_5","nEPIVaccinations_6","nEPIVaccinations_7","nEPIVaccinations_8","nMassVaccinations_1","nMassVaccinations_2","nMassVaccinations_3","nMassVaccinations_4","nMassVaccinations_5","nMassVaccinations_6","nMassVaccinations_7","nMassVaccinations_8","innoculationsPerAgeGroup_S1","innoculationsPerAgeGroup_R1","innoculationsPerAgeGroup_S2","innoculationsPerAgeGroup_R2","innoculationsPerAgeGroup_S3","innoculationsPerAgeGroup_R3","innoculationsPerAgeGroup_S4","innoculationsPerAgeGroup_R4","innoculationsPerAgeGroup_S5","innoculationsPerAgeGroup_R5","innoculationsPerAgeGroup_S6","innoculationsPerAgeGroup_R6","innoculationsPerAgeGroup_S7","innoculationsPerAgeGroup_R7","innoculationsPerAgeGroup_S8","innoculationsPerAgeGroup_R8","Vector_Nv","inputEIR","simulatedEIR","nMDAs_1","nMDAs_2","nMDAs_3","nMDAs_4","nMDAs_5","nMDAs_6","nMDAs_7","nMDAs_8","nTreatDiagnostics_1","nTreatDiagnostics_2","nTreatDiagnostics_3","nTreatDiagnostics_4","nTreatDiagnostics_5","nTreatDiagnostics_6","nTreatDiagnostics_7","nTreatDiagnostics_8","nInfectByGenotype_S1","nInfectByGenotype_R1","nInfectByGenotype_S2","nInfectByGenotype_R2","nInfectByGenotype_S3","nInfectByGenotype_R3","nInfectByGenotype_S4","nInfectByGenotype_R4","nInfectByGenotype_S5","nInfectByGenotype_R5","nInfectByGenotype_S6","nInfectByGenotype_R6","nInfectByGenotype_S7","nInfectByGenotype_R7","nInfectByGenotype_S8","nInfectByGenotype_R8","nPatentByGenotype_S1","nPatentByGenotype_R1","nPatentByGenotype_S2","nPatentByGenotype_R2","nPatentByGenotype_S3","nPatentByGenotype_R3","nPatentByGenotype_S4","nPatentByGenotype_R4","nPatentByGenotype_S5","nPatentByGenotype_R5","nPatentByGenotype_S6","nPatentByGenotype_R6","nPatentByGenotype_S7","nPatentByGenotype_R7","nPatentByGenotype_S8","nPatentByGenotype_R8","nHostDrugConcNonZero_A1","nHostDrugConcNonZero_B1","nHostDrugConcNonZero_A2","nHostDrugConcNonZero_B2","nHostDrugConcNonZero_A3","nHostDrugConcNonZero_B3","nHostDrugConcNonZero_A4","nHostDrugConcNonZero_B4","nHostDrugConcNonZero_A5","nHostDrugConcNonZero_B5","nHostDrugConcNonZero_A6","nHostDrugConcNonZero_B6","nHostDrugConcNonZero_A7","nHostDrugConcNonZero_B7","nHostDrugConcNonZero_A8","nHostDrugConcNonZero_B8","sumLogDrugConcNonZero_A1","sumLogDrugConcNonZero_B1","sumLogDrugConcNonZero_A2","sumLogDrugConcNonZero_B2","sumLogDrugConcNonZero_A3","sumLogDrugConcNonZero_B3","sumLogDrugConcNonZero_A4","sumLogDrugConcNonZero_B4","sumLogDrugConcNonZero_A5","sumLogDrugConcNonZero_B5","sumLogDrugConcNonZero_A6","sumLogDrugConcNonZero_B6","sumLogDrugConcNonZero_A7","sumLogDrugConcNonZero_B7","sumLogDrugConcNonZero_A8","sumLogDrugConcNonZero_B8","Incidence"
1,4785,49,1625,3233,3149,3072,2271,81816,486,9,364,937,959,1082,822,50342,1112.13,28.8904,996.184,2726.42,3000.97,3032.94,2263.05,81811.8,247,3,135,351,356,413,306,14652,0.0164197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,264,5,5,214,191,534,527,557,546,629,627,479,484,33160,32831,96,89,0,2,53,51,128,117,130,141,157,159,108,113,4887,4754,10,100,0,6,13,103,19,239,27,229,14,217,12,177,281,3392,-258.083,-409.227,0,-25.6157,-292.256,-477.569,-383.659,-1051.39,-558.721,-1011.36,-324.581,-1006.91,-281.125,-809.65,-6574.94,-15747.9,0
2,4785,49,1625,3233,3149,3072,2271,81816,465,11,358,901,926,1053,791,49439,1075.35,28.9181,994.281,2718.16,2998.33,3032.18,2262.87,81811.7,221,1,122,326,306,369,256,12937,0.0138412,4,0,3,6,8,6,2,73,16,0,10,19,21,19,14,413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.30662,6.28699,0.0692584,0.0690428,2.44241,2.43481,5.64649,5.62892,6.35576,6.33597,6.81711,6.79589,5.43181,5.41491,409.032,407.759,211405,0.00474654,0.0117015,0,0,0,0,0,0,0,0,4,0,3,6,8,6,2,74,257,253,5,7,212,185,509,506,537,523,604,608,458,464,32238,31919,76,77,1,0,47,31,101,117,113,106,131,128,86,92,4078,4078,11,97,1,1,9,88,20,218,29,215,12,194,13,156,233,2973,-190.824,-395.684,-12.2847,0.267844,-225.676,-386.175,-435.071,-992.97,-662.169,-947.559,-261.88,-934.256,-234.278,-709.555,-5236,-13954.4,5.44434667839859
3,4785,49,1625,3232,3149,3073,2271,81816,435,15,347,872,901,1026,768,48396,1038.39,28.9396,992.575,2708.63,2995.46,3032.36,2262.68,81811.7,184,6,109,273,273,327,232,11487,0.0116728,1,0,2,6,4,8,3,68,7,0,5,17,23,13,5,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.47774,5.44039,0.0601305,0.0597205,2.11923,2.10479,4.90081,4.8674,5.51795,5.48033,5.91861,5.87826,4.71594,4.68379,355.13,352.709,213264,0.00433854,0.0101405,0,0,0,0,0,0,0,0,1,0,2,6,4,8,3,69,236,239,8,8,208,173,491,484,522,500,591,591,442,455,31295,31035,71,67,3,1,43,35,87,105,96,102,107,122,70,79,3540,3509,11,87,1,4,7,78,15,191,22,193,12,165,10,130,185,2581,-270.455,-375.54,-31.6024,-10.7163,-162.341,-338.393,-355.836,-904.201,-540.884,-850.555,-262.007,-796.771,-278.076,-609.698,-4460.8,-12382.6,3.84953805543335
4,4785,49,1625,3231,3150,3074,2270,81816,413,12,344,850,870,996,738,47412,1001.36,28.9552,990.997,2698.61,2993.42,3032.5,2261.48,81811.6,176,3,98,234,265,280,203,10063,0.00987695,3,0,0,6,4,3,5,60,7,1,8,17,12,11,10,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.73557,4.69117,0.0519944,0.0515069,1.8336,1.81641,4.23645,4.19672,4.77279,4.72804,5.12113,5.07311,4.07611,4.0379,307.074,304.195,216195,0.00402303,0.00875715,0,0,0,0,0,0,0,0,3,0,0,6,4,3,5,61,220,228,9,3,204,174,473,473,500,475,570,571,418,442,30384,30070,57,59,1,0,35,27,82,78,86,90,94,97,62,65,3042,2990,4,69,1,4,5,77,12,166,11,161,15,148,5,115,141,2206,-107.045,-319.145,-31.6749,-8.85089,-119.079,-354.362,-261.301,-791.478,-289.92,-732.864,-297.573,-691.576,-99.236,-584.512,-3155.23,-10672.1,3.62956445226573
5,4785,49,1625,3230,3151,3073,2271,81816,391,10,339,810,842,960,720,46253,964.32,28.9654,989.521,2688.29,2991.27,3030.64,2262.27,81811.5,169,3,99,221,217,245,175,8847,0.00826887,0,0,1,3,4,5,2,67,11,0,6,8,12,8,6,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0763,4.03699,0.0447371,0.0443058,1.57767,1.56246,3.64396,3.60882,4.10796,4.06835,4.40493,4.36246,3.50713,3.47331,264.22,261.672,220353,0.00378028,0.00753383,0,0,0,0,0,0,0,0,0,0,1,3,4,5,2,67,206,217,7,4,203,168,455,448,476,457,543,552,404,424,29394,29045,48,62,1,0,35,27,63,72,80,68,72,83,56,64,2651,2596,4,59,0,6,2,71,12,140,7,137,11,129,9,101,128,1903,-67.6932,-279.359,0,-34.1257,-63.8391,-345.511,-261.742,-657.442,-143,-638.669,-309.453,-625.382,-166.948,-496.168,-2898.13,-9369.92,2.80466344038715
6,4785,49,1625,3229,3150,3075,2271,81816,373,10,336,788,800,923,703,45073,927.369,28.9703,988.141,2677.63,2987.14,3031.68,2262.04,81811.4,171,2,95,193,199,209,155,7847,0.00701743,3,0,2,5,4,1,3,55,10,0,2,9,9,14,10,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.50012,3.46919,0.0384217,0.0380822,1.35495,1.34298,3.12964,3.10199,3.5269,3.49574,3.78421,3.75077,3.01334,2.98672,226.921,224.916,225971,0.00359511,0.00647292,0,0,0,0,0,0,0,0,4,0,2,5,4,1,4,55,189,213,6,5,202,165,438,433,450,434,516,529,391,412,28367,28050,55,52,2,0,32,32,68,70,79,64,69,64,52,49,2326,2295,3,46,0,1,1,63,9,120,8,122,7,107,8,79,127,1629,-95.6093,-223.785,0,-2.88294,-11.7094,-311.747,-226.115,-585.842,-174.265,-575.037,-123.156,-507.312,-214.712,-371.209,-2727.95,-7998.08,2.96964364276287
7,4785,49,1625,3230,3150,3074,2271,81816,350,11,328,766,772,886,683,43851,890.574,28.9701,986.799,2668.44,2983.97,3029.77,2261.82,81811.3,155,3,97,191,181,189,151,7125,0.00602841,1,0,0,1,5,2,2,41,10,0,4,6,10,13,8,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.00761,2.97887,0.0330083,0.0326929,1.16406,1.15294,2.68782,2.66214,3.03102,3.00206,3.25215,3.22108,2.58768,2.56296,194.949,193.086,233376,0.00345573,0.00555892,0,0,0,0,0,0,0,0,1,0,0,1,5,2,2,41,178,200,6,6,193,162,430,413,435,414,490,504,374,397,27336,27100,47,55,0,0,27,29,59,60,61,54,51,63,49,52,2190,2144,3,42,0,1,3,54,8,100,8,97,6,90,5,68,121,1360,-36.0525,-204.049,0,-7.99815,-55.1944,-262.624,-154.87,-472.028,-174.274,-432.01,-170.554,-435.175,-98.9709,-315.731,-2769.06,-6568.37,2.80466344038715
8,4785,49,1625,3230,3150,3074,2271,81816,331,12,323,752,744,854,653,42656,854,28.9647,985.528,2658.14,2980.67,3028.82,2261.58,81811.2,143,3,82,181,157,179,140,6684,0.00521687,4,0,0,3,3,3,2,35,3,0,7,7,8,14,12,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.58469,2.56009,0.0283669,0.0280969,1.00036,0.990838,2.30985,2.28787,2.6057,2.5809,2.79302,2.76643,2.22478,2.20361,167.536,165.942,242997,0.00335293,0.00477735,0,0,0,0,0,0,0,0,4,0,0,3,3,3,2,35,170,187,5,8,188,158,419,405,417,396,475,485,356,374,26347,26121,49,40,1,0,25,23,65,62,57,44,57,63,49,56,2023,2044,4,37,0,0,2,45,5,84,10,83,3,67,5,59,96,1164,-107.095,-185.371,0,0,-63.285,-236.5,-138.764,-413.127,-218.962,-341.277,-55.1514,-295.72,-118.377,-276.934,-2250.29,-5659.25,2.80466344038715
9,4785,49,1625,3230,3149,3075,2271,81816,307,12,318,735,707,823,635,41363,817.709,28.954,984.277,2647.81,2976.25,3028.82,2261.34,81811.1,108,5,79,181,134,173,124,6172,0.00484316,2,0,1,8,5,3,2,46,6,0,2,16,12,12,12,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.23054,2.21291,0.0244852,0.0242916,0.863487,0.856661,1.99375,1.97799,2.24846,2.23068,2.4124,2.39333,1.91953,1.90435,144.611,143.468,255395,0.00327943,0.00412696,0,0,0,0,0,0,0,0,2,0,1,8,5,3,2,46,154,178,5,8,182,159,406,395,397,370,454,470,334,365,25261,25107,42,28,0,4,28,24,60,62,48,45,52,58,40,45,1940,1956,5,33,0,0,0,36,4,69,8,80,5,60,4,51,76,981,-80.3194,-144.57,0,0,0,-195.158,-67.5139,-325.712,-195.147,-357.113,-98.7897,-269.164,-86.822,-239.007,-1733.18,-4737.72,3.2996040475143
10,4785,49,1625,3230,3150,3074,2271,81816,281,13,315,693,682,772,610,40155,781.765,28.9377,983.045,2637.18,2973.67,3026.84,2261.1,81811,105,3,83,165,125,159,124,5728,0.00476247,2,0,3,5,4,4,5,58,3,1,5,8,10,6,3,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94344,1.9255,0.0213426,0.0211456,0.752187,0.745243,1.73787,1.72183,1.95924,1.94116,2.10207,2.08267,1.67389,1.65844,126.051,124.887,271296,0.00322951,0.00359489,0,0,0,0,0,0,0,0,2,0,3,5,4,4,5,58,142,161,6,9,178,159,381,370,377,359,424,433,313,351,24326,24171,34,25,2,1,33,27,54,58,53,43,56,50,28,46,1806,1851,6,29,0,0,1,33,11,60,8,76,6,59,4,39,81,851,-152.474,-118.944,0,0,-11.6762,-189.272,-191.268,-240.149,-155.11,-352.495,-130.469,-270.668,-87.2367,-160.684,-1674.68,-4022.13,1.97976242850858
11,4785,49,1625,3229,3150,3076,2270,81816,258,14,309,691,649,751,581,38887,746.224,28.9152,981.863,2625.6,2970.09,3027.79,2259.86,81811,91,2,78,153,106,140,100,5350,0.0049106,1,0,2,1,4,1,1,55,4,0,4,13,8,8,4,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72406,1.70661,0.0189214,0.01873,0.66726,0.660508,1.54023,1.52465,1.73751,1.71993,1.86421,1.84535,1.48335,1.46834,111.751,110.621,291637,0.00319872,0.00318565,0,0,0,0,0,0,0,0,1,0,2,2,4,1,1,55,133,147,6,8,174,159,381,360,362,338,407,423,296,333,23376,23229,30,27,0,2,34,23,50,54,41,30,54,42,30,47,1682,1724,4,26,0,0,4,31,13,55,8,70,8,55,7,42,104,743,-88.2751,-99.4453,0,0,-67.5264,-171.784,-313.694,-208.466,-175.147,-335.286,-174.033,-243.553,-123.695,-169.517,-2171.29,-3279.2,2.2547294324681
12,4785,49,1625,3230,3148,3076,2271,81816,246,4,307,672,618,732,547,37674,711.164,28.8857,980.701,2615.78,2964.63,3026.75,2260.59,81810.9,95,0,73,152,106,125,101,4967,0.00486238,2,0,4,3,2,3,2,38,3,0,9,7,6,7,4,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57799,1.56904,0.017322,0.0172238,0.610869,0.607405,1.41048,1.40249,1.59015,1.58114,1.70659,1.69692,1.35855,1.35085,102.304,101.724,317636,0.00318372,0.0029229,0,0,0,0,0,0,0,0,2,0,4,3,2,3,2,40,125,143,3,1,169,161,370,347,340,323,395,405,271,319,22453,22342,30,34,0,0,27,21,47,50,37,34,47,40,24,42,1521,1587,3,23,0,1,5,24,6,51,8,65,5,48,6,36,113,674,-76.1696,-94.5409,0,-6.76649,-118.982,-117.883,-170.253,-213.791,-175.227,-310.509,-138.626,-219.557,-171.235,-145.752,-2516.46,-2807.89,1.97976242850858
13,4785,49,1625,3230,3147,3078,2270,81816,226,15,291,650,598,703,529,36480,676.708,28.8481,979.572,2605.02,2960.1,3027.68,2259.34,81810.8,74,3,72,141,98,118,90,4473,0.00466342,1,0,0,3,1,4,0,45,6,0,0,11,4,9,10,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.51255,1.51561,0.0166036,0.0166372,0.585536,0.586719,1.35245,1.35518,1.52323,1.52631,1.63688,1.64019,1.30164,1.30427,98.062,98.2602,350887,0.00318222,0.00281247,0,0,0,0,0,0,0,0,1,0,0,3,1,4,0,45,115,129,7,10,159,153,361,334,326,311,372,395,265,302,21500,21494,29,30,1,2,24,24,43,44,40,36,39,36,28,39,1403,1452,3,22,0,0,6,20,4,46,6,46,4,40,3,33,93,601,-56.682,-86.5784,0,0,-111.047,-66.3221,-67.0691,-185.405,-151.007,-186.436,-67.0299,-159.986,-55.5822,-131.123,-2216.01,-2402.54,2.1997360316762
14,4785,49,1625,3230,3147,3079,2269,81816,215,8,294,634,578,675,512,35311,642.94,28.8008,978.48,2594.19,2956.51,3027.64,2258.1,81810.7,85,4,74,134,93,114,89,4165,0.00425261,1,0,1,3,0,1,3,32,3,0,1,5,5,6,7,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.51198,1.53078,0.0165939,0.0168002,0.58519,0.592466,1.35168,1.36848,1.52236,1.54129,1.63649,1.65683,1.30032,1.31649,98.0047,99.2232,393479,0.0031929,0.00282545,0,0,0,0,0,0,0,0,1,0,1,3,0,1,3,32,109,122,4,5,163,154,349,326,315,300,354,378,256,290,20663,20654,29,21,1,3,20,21,42,45,36,33,45,41,24,40,1229,1328,2,19,0,0,4,15,6,44,3,38,7,38,2,30,83,570,-43.8046,-76.9552,0,0,-127.115,-44.0523,-129.997,-173.822,-75.3219,-154.546,-142.374,-133.606,-63.2518,-133.778,-1761,-2222.8,1.48482182138143
15,4785,49,1625,3230,3147,3079,2269,81816,201,11,291,605,561,643,491,34156,609.839,28.741,977.434,2583.26,2952.88,3026.59,2257.84,81810.6,75,6,72,132,92,106,82,3838,0.00381612,1,0,0,3,1,1,4,27,3,0,2,4,3,7,4,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54407,1.58234,0.016946,0.0173661,0.597601,0.612415,1.3799,1.4141,1.55462,1.59316,1.67174,1.71318,1.32792,1.36083,100.084,102.565,448168,0.0032154,0.00290312,0,0,0,0,0,0,0,0,1,0,0,3,1,1,4,27,103,112,5,8,158,157,335,309,309,286,339,355,244,274,19798,19851,21,25,1,2,24,19,43,41,32,25,38,34,20,32,1186,1206,2,18,0,1,1,13,6,40,1,35,5,34,3,30,77,534,-43.2487,-77.0899,0,-5.53011,-11.6585,-29.6186,-130.81,-148.23,-31.763,-159.531,-138.802,-122.526,-36.1172,-131.163,-1826.2,-2096.92,1.26484821821381
16,4785,49,1625,3229,3149,3079,2269,81815,190,9,293,585,547,619,466,33087,577.428,28.6648,976.408,2571.65,2951.07,3025.55,2257.58,81809.5,73,1,76,118,86,109,71,3547,0.00333442,3,0,1,2,2,1,0,25,4,0,2,3,7,2,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58925,1.63987,0.0174456,0.0180013,0.615223,0.63482,1.42008,1.46532,1.60145,1.65247,1.72106,1.77588,1.3671,1.41065,103.034,106.316,518591,0.00325037,0.00299912,0,0,0,0,0,0,0,0,3,0,1,2,2,1,0,25,96,108,6,3,157,160,318,303,303,277,325,341,233,259,19069,19087,21,29,1,1,20,23,43,35,32,30,38,32,17,28,1107,1117,2,15,0,0,1,14,6,36,1,31,2,33,7,28,59,499,-43.6122,-57.2983,0,0,-31.4585,-46.3487,-131.747,-120.46,-11.8062,-144.904,-43.8759,-137.203,-143.166,-96.6613,-1348.98,-1990.41,0.989826780313445
17,4785,49,1625,3229,3149,3079,2268,81816,174,15,287,583,533,596,457,31987,545.665,28.5674,975.368,2560.82,2947.45,3024.51,2256.32,81810.4,70,4,67,99,90,103,65,3164,0.00303304,1,0,1,2,0,1,2,35,3,0,2,5,6,2,2,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.63474,1.68821,0.017945,0.0185319,0.63284,0.653537,1.46124,1.50902,1.64735,1.70123,1.76976,1.82764,1.40559,1.45156,105.984,109.45,609546,0.00329947,0.00308627,0,0,0,0,0,0,0,0,1,0,1,2,0,1,2,35,88,97,6,11,154,157,317,300,296,268,309,327,229,250,18324,18369,22,23,2,2,14,22,40,42,35,24,39,30,20,30,1005,980,4,17,0,1,1,14,5,39,3,29,2,28,4,24,52,460,-67.7233,-63.781,0,-3.73901,-11.8624,-52.689,-119.796,-152.515,-55.4921,-135.078,-43.766,-113.172,-126.849,-92.7688,-1165.75,-1837.2,1.0998680158381
18,4785,49,1625,3230,3148,3078,2269,81816,164,10,290,568,508,564,438,30963,514.553,28.4422,974.314,2550.77,2942.91,3022.47,2257.05,81810.3,64,6,71,102,89,103,60,2978,0.00267199,1,0,0,2,1,1,4,19,5,0,1,4,3,4,5,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67968,1.72715,0.0184344,0.0189554,0.650092,0.668463,1.5011,1.54352,1.69173,1.73954,1.81861,1.87,1.44391,1.48472,108.875,111.952,727339,0.00336545,0.00316352,0,0,0,0,0,0,0,0,1,0,0,2,1,1,4,19,82,91,8,4,156,159,306,295,290,247,291,311,215,243,17657,17679,21,18,1,0,17,18,30,40,25,25,37,23,15,24,904,876,4,16,0,0,2,14,4,34,2,25,2,27,2,25,60,442,-107.565,-60.2495,0,0,-43.4605,-50.8093,-87.9534,-125.956,-63.4859,-123.134,-43.8511,-121.853,-23.6129,-101.519,-1222.34,-1744.15,1.20985481742191
19,4785,49,1625,3229,3149,3077,2270,81816,154,7,295,544,493,540,423,29985,484.088,28.2815,973.186,2538.97,2940.15,3020.43,2257.77,81810.2,56,0,76,104,83,85,52,2767,0.00244199,0,0,1,1,2,1,3,31,0,0,4,4,5,3,4,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73505,1.76983,0.0190461,0.0194278,0.671675,0.685136,1.5509,1.58198,1.74785,1.78288,1.87833,1.91598,1.49247,1.52238,112.488,114.742,880189,0.00345219,0.00325524,0,0,0,0,0,0,0,0,0,0,1,1,2,1,3,31,79,83,2,6,161,159,290,286,286,235,284,290,211,231,16989,17046,16,23,0,0,20,22,34,37,29,26,28,25,14,18,810,804,2,17,0,0,1,13,4,35,1,22,2,23,6,26,54,418,-44.2088,-72.6199,0,0,-31.5981,-53.2792,-88.0302,-151.176,-12.0115,-102.509,-43.7392,-104.652,-110.905,-93.3802,-1345.9,-1722.65,1.0998680158381
20,4785,49,1625,3229,3149,3078,2269,81816,140,11,295,533,470,524,405,29054,454.347,28.076,971.986,2528.27,2936.46,3020.37,2256.51,81810.1,56,3,75,102,72,94,48,2572,0.00219906,0,0,0,1,1,1,0,19,3,0,6,6,4,5,7,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.81737,1.82965,0.0199539,0.0200888,0.703681,0.708435,1.62428,1.63525,1.83172,1.84409,1.96788,1.98117,1.56362,1.57418,117.849,118.646,1078690,0.0035649,0.00338798,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,19,68,80,7,4,160,161,283,281,270,228,281,274,211,215,16389,16443,13,20,0,1,25,22,32,35,30,24,30,26,14,15,763,776,1,12,0,0,1,14,3,31,3,23,2,22,7,25,50,416,-31.9229,-43.663,0,0,-12.0971,-63.2238,-75.6842,-144.56,-55.3863,-103.096,-43.3957,-105.152,-162.551,-81.8144,-981.356,-1768.33,1.70479542454905
21,4785,49,1625,3230,3150,3074,2271,81816,131,9,299,529,458,504,392,28234,425.37,27.8149,970.644,2518.24,2933.89,3015.4,2258.23,81810,53,3,79,104,72,74,44,2372,0.00199371,2,0,0,1,0,0,1,18,1,0,4,4,3,2,2,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.93343,1.91072,0.0212193,0.02097,0.748311,0.739522,1.72789,1.70759,1.94799,1.92511,2.09066,2.0661,1.66346,1.64392,125.321,123.849,1336260,0.00371027,0.0035696,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,18,64,75,4,5,162,163,283,275,265,220,270,262,212,202,15843,15894,15,20,2,0,25,17,28,28,29,24,30,25,17,16,700,757,0,11,0,0,1,13,2,24,3,20,2,19,3,23,50,389,0,-44.7055,0,0,-31.8971,-66.6749,-43.5804,-102.81,-75.1062,-87.916,-43.6726,-88.5109,-95.0593,-84.8178,-1221.29,-1708.24,0.87989441267048
22,4785,49,1625,3230,3148,3076,2271,81816,125,10,296,517,456,496,380,27447,397.313,27.4857,969.132,2507.61,2928.34,3016.28,2257.97,81809.9,53,5,84,101,62,73,41,2274,0.00187295,0,0,0,3,0,0,1,16,2,0,1,2,4,6,4,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09134,2.03337,0.0229572,0.0223208,0.809073,0.786645,1.86934,1.81752,2.10748,2.04906,2.26182,2.19913,1.80049,1.75058,135.585,131.826,1669500,0.00389687,0.00383093,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,16,63,68,3,9,158,161,275,271,263,218,262,262,205,196,15335,15396,12,21,1,4,31,19,35,34,26,20,24,21,17,11,706,665,2,11,0,0,0,11,2,21,1,16,1,14,1,20,37,347,-23.4191,-35.0465,0,0,0,-60.2771,-43.6603,-88.7852,-31.7315,-71.014,-31.9098,-61.3955,-12.0524,-69.8039,-826.325,-1508.46,1.04487461504619
23,4785,49,1625,3230,3149,3075,2271,81816,130,4,297,507,444,478,371,26717,370.256,27.0753,967.403,2497.02,2925.64,3014.25,2257.7,81809.8,46,2,87,93,71,74,42,2183,0.00183725,1,0,0,1,1,1,1,23,2,0,1,4,5,2,1,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.28192,2.21114,0.025044,0.0242671,0.88315,0.855755,2.03927,1.97601,2.29908,2.22776,2.46743,2.39089,1.96417,1.90324,147.911,143.323,2098330,0.00413561,0.00417217,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,23,65,71,2,2,157,164,266,269,256,213,247,257,198,193,14868,14914,15,19,1,0,31,26,35,25,26,16,24,25,14,15,692,699,2,10,0,1,0,8,4,22,0,12,0,14,2,19,34,307,-63.0191,-36.075,0,-7.77156,0,-49.2402,-67.3537,-86.9565,0,-49.4534,0,-68.8266,-43.8264,-68.0409,-771.228,-1313.16,0.824901011878575
24,4785,49,1625,3230,3148,3076,2271,81816,122,4,288,506,430,471,357,26012,344.442,26.57,965.398,2486.62,2921.1,3014.17,2257.44,81809.7,51,0,91,109,63,73,39,2118,0.00182868,2,0,1,2,1,0,0,21,5,0,3,5,7,5,1,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.53672,2.45949,0.0278404,0.0269928,0.981785,0.951896,2.26773,2.19869,2.555,2.47722,2.74291,2.6594,2.18345,2.11698,164.427,159.421,2645550,0.00444041,0.00463938,0,0,0,0,0,0,0,0,2,0,1,2,1,0,0,21,62,65,3,2,154,156,265,270,250,203,249,247,191,185,14398,14487,15,19,0,0,32,24,40,33,26,17,28,25,10,14,688,671,1,11,0,0,0,4,4,20,1,14,1,14,2,19,39,291,-11.7351,-43.2576,0,0,0,-21.8895,-106.838,-88.0733,-11.7143,-57.5534,-11.8698,-71.297,-43.8729,-74.5603,-791.923,-1220.77,1.42982842058953
25,4785,49,1625,3230,3148,3077,2270,81816,113,7,283,501,424,461,352,25408,320.087,25.9578,963.024,2476.09,2917.56,3014.13,2256.19,81809.6,45,2,80,94,72,73,37,2123,0.00181101,1,0,1,0,1,1,0,27,3,0,1,8,8,4,3,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9128,2.82151,0.0319678,0.0309659,1.12735,1.09202,2.60313,2.52155,2.93372,2.84178,3.15162,3.05284,2.50611,2.42757,188.804,182.887,3335800,0.00482928,0.00532477,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,28,56,61,3,5,153,153,261,269,244,202,248,238,184,185,14072,14077,11,21,1,1,24,28,36,27,25,20,26,18,14,14,670,650,3,11,0,0,1,4,3,19,2,13,1,10,1,18,44,268,-55.5597,-45.0684,0,0,-12.2246,-16.0326,-55.4348,-77.1642,-43.4233,-51.1149,-31.6698,-49.1531,-31.8988,-80.9135,-990.129,-1075.42,1.48482182138143
